ObservationDate,ObservationTime,EntryDateTime,StationNumber,StationName,Latitude,Longitude,TotalPrecipAmt,NewSnowDepth,NewSnowSWE,TotalSnowDepth,TotalSnowSWE,DateTimeStamp
4/20/20, 07:00 AM, 2020-04-20 06:54 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0,0,0,0,0, 2020-04-20 10:54 AM
4/20/20, 09:00 AM, 2020-04-20 09:42 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034, T,0,0,0,0, 2020-04-20 01:42 PM
4/19/20, 09:00 AM, 2020-04-19 08:31 PM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0,0,0,0,0, 2020-04-20 12:30 AM
4/19/20, 07:00 AM, 2020-04-19 07:29 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0,0, NA, NA, NA, 2020-04-19 11:29 AM
4/18/20, 07:00 AM, 2020-04-18 07:05 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0,0,0,0,0, 2020-04-18 11:04 AM
4/18/20, 09:00 AM, 2020-04-18 08:56 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034, T, T, T,0,0, 2020-04-18 12:55 PM
4/17/20, 09:00 AM, 2020-04-17 10:06 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034, T, T, T,0,0, 2020-04-17 02:06 PM
4/17/20, 07:00 AM, 2020-04-17 07:12 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0,0,0,0,0, 2020-04-17 11:11 AM
4/16/20, 07:00 AM, 2020-04-16 07:11 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0,0,0,0,0, 2020-04-16 11:10 AM
4/16/20, 09:00 AM, 2020-04-16 09:27 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0.01,0.2,0.01, T, NA, 2020-04-16 01:26 PM
4/15/20, 09:00 AM, 2020-04-15 09:43 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034, T, T, T,0,0, 2020-04-15 01:42 PM
4/15/20, 07:00 AM, 2020-04-15 07:01 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0,0,0,0,0, 2020-04-15 11:01 AM
4/14/20, 07:00 AM, 2020-04-14 07:03 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0.18,0,0,0,0, 2020-04-14 11:02 AM
4/14/20, 09:00 AM, 2020-04-14 09:02 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0.08,0,0,0,0, 2020-04-14 01:02 PM
4/13/20, 09:00 AM, 2020-04-13 09:13 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0.09,0,0,0,0, 2020-04-13 01:13 PM
4/13/20, 07:00 AM, 2020-04-13 07:09 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0.08,0,0,0,0, 2020-04-13 11:09 AM
4/12/20, 07:00 AM, 2020-04-12 07:42 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0,0, NA, NA, NA, 2020-04-12 11:41 AM
4/12/20, 09:00 AM, 2020-04-12 09:08 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034, T, T, T,0,0, 2020-04-12 01:07 PM
4/11/20, 09:00 AM, 2020-04-11 09:10 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0.1, T, T,0,0, 2020-04-11 01:09 PM
4/11/20, 07:00 AM, 2020-04-11 07:17 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0.07,0,0,0,0, 2020-04-11 11:17 AM
4/10/20, 06:45 AM, 2020-04-10 06:45 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0.19,0,0,0,0, 2020-04-10 10:44 AM
4/10/20, 08:30 AM, 2020-04-11 09:10 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0.35, T, T,0,0, 2020-04-11 01:10 PM
4/9/20, 09:00 AM, 2020-04-09 09:03 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0,0,0,0,0, 2020-04-09 01:03 PM
4/9/20, 07:00 AM, 2020-04-09 07:01 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0,0,0,0,0, 2020-04-09 11:00 AM
4/8/20, 07:00 AM, 2020-04-08 07:17 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0,0, NA, NA, NA, 2020-04-08 11:16 AM
4/8/20, 09:00 AM, 2020-04-08 09:05 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0,0,0,0,0, 2020-04-08 01:04 PM
4/7/20, 09:00 AM, 2020-04-07 09:01 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0,0,0,0,0, 2020-04-07 01:01 PM
4/7/20, 07:00 AM, 2020-04-07 07:08 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0,0, NA, NA, NA, 2020-04-07 11:07 AM
4/6/20, 07:00 AM, 2020-04-06 07:20 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0,0, NA, NA, NA, 2020-04-06 11:20 AM
4/6/20, 09:00 AM, 2020-04-06 09:12 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0.01,0,0,0,0, 2020-04-06 01:12 PM
4/5/20, 09:00 AM, 2020-04-05 09:02 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0.01,0,0,0,0, 2020-04-05 01:01 PM
4/5/20, 07:00 AM, 2020-04-05 07:09 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0,0,0,0,0, 2020-04-05 11:09 AM
4/4/20, 07:00 AM, 2020-04-04 07:01 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0,0,0,0,0, 2020-04-04 11:00 AM
4/4/20, 09:00 AM, 2020-04-04 09:11 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0.04,0,0,0,0, 2020-04-04 01:11 PM
4/3/20, 09:00 AM, 2020-04-03 09:59 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0.51, T, T,0,0, 2020-04-03 01:58 PM
4/3/20, 07:00 AM, 2020-04-03 07:09 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0.55,0,0,0,0, 2020-04-03 11:09 AM
4/2/20, 07:00 AM, 2020-04-02 07:04 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0,0,0,0,0, 2020-04-02 11:03 AM
4/2/20, 09:00 AM, 2020-04-02 09:29 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0,0,0,0,0, 2020-04-02 01:28 PM
4/1/20, 09:00 AM, 2020-04-01 09:00 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0,0,0,0,0, 2020-04-01 01:00 PM
4/1/20, 07:00 AM, 2020-04-01 07:05 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0,0,0,0,0, 2020-04-01 11:04 AM
3/31/20, 07:00 AM, 2020-03-31 07:07 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0.28,0,0,0,0, 2020-03-31 11:07 AM
3/31/20, 09:00 AM, 2020-03-31 08:58 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0.3,0,0,0,0, 2020-03-31 12:57 PM
3/30/20, 09:00 AM, 2020-03-30 10:11 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0.57,0,0,0,0, 2020-03-30 02:10 PM
3/30/20, 07:00 AM, 2020-03-30 07:03 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0.88,0,0,0,0, 2020-03-30 11:02 AM
3/29/20, 07:00 AM, 2020-03-29 07:01 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0,0, NA, NA, NA, 2020-03-29 11:00 AM
3/29/20, 09:00 AM, 2020-03-29 10:29 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034, T,0,0,0,0, 2020-03-29 02:29 PM
3/28/20, 09:00 AM, 2020-03-28 09:00 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0,0,0,0,0, 2020-03-28 01:00 PM
3/28/20, 07:00 AM, 2020-03-28 06:59 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0,0,0,0,0, 2020-03-28 10:58 AM
3/27/20, 07:00 AM, 2020-03-27 07:09 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0.07,0,0,0,0, 2020-03-27 11:09 AM
3/27/20, 09:00 AM, 2020-03-27 10:20 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0.16,0,0,0,0, 2020-03-27 02:20 PM
3/26/20, 09:00 AM, 2020-03-26 09:02 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0,0,0, NA, NA, 2020-03-26 01:01 PM
3/26/20, 07:00 AM, 2020-03-26 07:19 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0,0,0,0,0, 2020-03-26 11:19 AM
3/25/20, 07:00 AM, 2020-03-25 07:10 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0,0,0, NA, NA, 2020-03-25 11:09 AM
3/25/20, 09:00 AM, 2020-03-25 08:57 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0,0,0, NA, NA, 2020-03-25 12:56 PM
3/24/20, 09:00 AM, 2020-03-24 10:30 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0.29,3.3,0.29,3.5, NA, 2020-03-24 02:30 PM
3/24/20, 07:00 AM, 2020-03-24 07:20 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0.17,2.1,0.17,2.1,0.17, 2020-03-24 11:19 AM
3/23/20, 07:00 AM, 2020-03-23 07:08 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0,0,0,0,0, 2020-03-23 11:08 AM
3/23/20, 09:00 AM, 2020-03-23 09:03 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0,0,0,0,0, 2020-03-23 01:03 PM
3/22/20, 09:00 AM, 2020-03-22 09:06 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0,0,0,0,0, 2020-03-22 01:06 PM
3/22/20, 07:00 AM, 2020-03-22 07:09 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0,0,0, NA, NA, 2020-03-22 11:08 AM
3/21/20, 07:00 AM, 2020-03-21 07:51 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0.03,0,0, NA, NA, 2020-03-21 11:51 AM
3/21/20, 09:00 AM, 2020-03-21 09:16 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0.02,0,0,0,0, 2020-03-21 01:16 PM
3/20/20, 09:00 AM, 2020-03-20 09:25 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0.08,0,0, T, NA, 2020-03-20 01:25 PM
3/20/20, 07:00 AM, 2020-03-20 07:09 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0.08,0,0, NA, NA, 2020-03-20 11:08 AM
3/19/20, 07:00 AM, 2020-03-19 06:59 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0,0,0, NA, NA, 2020-03-19 10:59 AM
3/19/20, 09:00 AM, 2020-03-19 09:10 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0,0,0, NA, NA, 2020-03-19 01:09 PM
3/18/20, 09:00 AM, 2020-03-18 09:37 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0.03,0,0, NA, NA, 2020-03-18 01:36 PM
3/18/20, 07:00 AM, 2020-03-18 07:26 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455,0.02,0,0, NA, NA, 2020-03-18 11:25 AM
3/17/20, 07:00 AM, 2020-03-17 06:59 AM, VT-FR-19, Swanton 0.5 NNE,44.925904,-73.121455, T, T, T, NA, NA, 2020-03-17 10:59 AM
3/17/20, 09:00 AM, 2020-03-17 09:00 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034,0.04,0.3,0.04,1, NA, 2020-03-17 01:00 PM
3/16/20, 09:00 AM, 2020-03-16 09:37 AM, VT-FR-21, Fairfax 4.9 WNW,44.6888,-73.1034, T, T, T, NA, NA, 2020-03-16 01:37 PM
