ObservationDate,ObservationTime,EntryDateTime,StationNumber,StationName,Latitude,Longitude,TotalPrecipAmt,NewSnowDepth,NewSnowSWE,TotalSnowDepth,TotalSnowSWE,DateTimeStamp
4/20/20, 05:15 AM, 2020-04-20 05:19 AM, VT-OL-12, Greensboro 3.9 NNE,44.631,-72.28,0.04, T, T,2.5, NA, 2020-04-20 09:18 AM
4/20/20, 08:00 AM, 2020-04-20 08:14 AM, VT-OL-6, Morgan 6.7 SE,44.855333,-71.906667,0.07,0.1, NA, NA, NA, 2020-04-20 12:14 PM
4/20/20, 07:00 AM, 2020-04-20 09:36 AM, VT-OL-9, Greensboro 2.1 NNW,44.60527778,-72.30944444, T,0, NA,0, NA, 2020-04-20 01:36 PM
4/20/20, 07:00 AM, 2020-04-20 07:15 AM, VT-OL-1, Westfield 0.7 WNW,44.8916,-72.4435,0.08, T, T, NA, NA, 2020-04-20 11:15 AM
4/20/20, 07:00 AM, 2020-04-20 07:34 AM, VT-OL-2, Barton 3.0 ENE,44.75863,-72.11683,0.07,0,0,0, NA, 2020-04-20 11:34 AM
4/20/20, 07:00 AM, 2020-04-20 07:55 AM, VT-OL-5, Derby Center 1.8 NW,44.972,-72.1478,0.07, T, T, T, T, 2020-04-20 11:54 AM
4/19/20, 05:00 AM, 2020-04-19 05:15 AM, VT-OL-12, Greensboro 3.9 NNE,44.631,-72.28,0,0,0,3, NA, 2020-04-19 09:14 AM
4/19/20, 07:00 AM, 2020-04-19 08:57 AM, VT-OL-9, Greensboro 2.1 NNW,44.60527778,-72.30944444,0,0,0,0, NA, 2020-04-19 12:56 PM
4/19/20, 09:18 AM, 2020-04-19 09:19 AM, VT-OL-11, East Craftsbury 0.8 NE,44.6502341,-72.3296945,0,0, NA, NA, NA, 2020-04-19 01:18 PM
4/19/20, 07:00 AM, 2020-04-19 08:10 AM, VT-OL-5, Derby Center 1.8 NW,44.972,-72.1478,0,0, NA, NA, NA, 2020-04-19 12:09 PM
4/19/20, 07:00 AM, 2020-04-19 08:44 AM, VT-OL-2, Barton 3.0 ENE,44.75863,-72.11683,0,0,0,0, NA, 2020-04-19 12:43 PM
4/19/20, 07:20 AM, 2020-04-19 07:25 AM, VT-OL-1, Westfield 0.7 WNW,44.8916,-72.4435,0,0, NA, NA, NA, 2020-04-19 11:25 AM
4/18/20, 07:00 AM, 2020-04-18 08:37 AM, VT-OL-9, Greensboro 2.1 NNW,44.60527778,-72.30944444, T, T, NA,0, NA, 2020-04-18 12:36 PM
4/18/20, 07:00 AM, 2020-04-18 07:01 AM, VT-OL-1, Westfield 0.7 WNW,44.8916,-72.4435,0,0, NA, NA, NA, 2020-04-18 11:01 AM
4/18/20, 07:00 AM, 2020-04-18 09:43 AM, VT-OL-2, Barton 3.0 ENE,44.75863,-72.11683,0,0,0,0, NA, 2020-04-18 01:43 PM
4/18/20, 07:00 AM, 2020-04-18 08:08 AM, VT-OL-5, Derby Center 1.8 NW,44.972,-72.1478,0,0, NA, NA, NA, 2020-04-18 12:08 PM
4/17/20, 05:15 AM, 2020-04-17 05:17 AM, VT-OL-12, Greensboro 3.9 NNE,44.631,-72.28, T,0.2, T,3, NA, 2020-04-17 09:17 AM
4/17/20, 07:00 AM, 2020-04-17 07:53 AM, VT-OL-9, Greensboro 2.1 NNW,44.60527778,-72.30944444, T, T, T, T, NA, 2020-04-17 11:52 AM
4/17/20, 08:00 AM, 2020-04-17 08:00 AM, VT-OL-6, Morgan 6.7 SE,44.855333,-71.906667,0.02,0.2, NA, NA, NA, 2020-04-17 12:00 PM
4/17/20, 07:00 AM, 2020-04-17 07:32 AM, VT-OL-5, Derby Center 1.8 NW,44.972,-72.1478, T, T, T, T, T, 2020-04-17 11:32 AM
4/17/20, 07:00 AM, 2020-04-17 09:14 AM, VT-OL-2, Barton 3.0 ENE,44.75863,-72.11683,0.02,0.1,0.02, T, NA, 2020-04-17 01:14 PM
