"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-01",,,,"21.3","25.0","18.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-02",,,,"23.1","28.9","17.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-03",,,,"21.5","27.2","15.6",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-04",,,,"20.4","27.8","13.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-05",,,,"22.4","30.6","12.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-06",,,,"23.8","27.8","19.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-07",,,,"23.1","30.6","18.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-08",,,,"19.6","24.4","16.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-09",,,,"20.7","26.7","13.9",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-10",,,,"22.5","27.8","18.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-11",,,,"23.7","30.0","18.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-12",,,,"21.3","25.6","17.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-13",,,,"16.2","18.9","15.0",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-14",,,,"17.8","20.6","14.4",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-15",,,,"21.8","27.2","17.8",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-16",,,,"23.2","30.0","16.1",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-17",,,,"20.6","26.7","17.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-18",,,,"23.8","30.0","18.3",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-19",,,,"23.9","30.6","17.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-20",,,,"24.3","30.6","17.2",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-21",,,,"23.3","31.7","15.0",
"USR0000VESS","ESSEX JUNCTION VERMONT, VT US","2017-07-22",,,,"21.4","27.8","16.1",
