,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,rain_int_mmPERmin_mean,rain_preEvent_1d,rain_preEvent_7d,rain_preEvent_14d,rain_preEvent_30d,q_event_max,q_event_delta,q_event_dQRate_cmsPerHr,q_preEvent_mean_1d,q_preEvent_mean_7d,q_mm,turb_kg_km2,turb_event_max,gw_event_max_well5,gw_event_delta_well5,gw_preEvent_mean_1d_well5,gw_preEvent_mean_7d_well5,time_sinceLastEvent,PET_mmHR,DO_mean_preEvent_1,Redox_mean_preEvent_1,SoilTemp_mean_preEvent_1,VWC_mean_preEvent_1
rain_event_total_mm,,,,,,,,,,,,,,,,,,,,,,,,,,
rain_event_hrs,0.47,,,,,,,,,,,,,,,,,,,,,,,,,
rain_int_mmPERmin_max,0.49,-0.11,,,,,,,,,,,,,,,,,,,,,,,,
rain_int_mmPERmin_mean,0.16,-0.29,0.74,,,,,,,,,,,,,,,,,,,,,,,
rain_preEvent_1d,0.16,0.01,0.00,-0.06,,,,,,,,,,,,,,,,,,,,,,
rain_preEvent_7d,-0.21,-0.25,-0.22,-0.12,0.16,,,,,,,,,,,,,,,,,,,,,
rain_preEvent_14d,-0.01,-0.22,-0.09,-0.15,0.15,0.75,,,,,,,,,,,,,,,,,,,,
rain_preEvent_30d,0.13,0.09,-0.05,-0.17,0.00,0.51,0.63,,,,,,,,,,,,,,,,,,,
q_event_max,0.30,0.18,-0.20,-0.12,0.05,0.08,0.12,-0.05,,,,,,,,,,,,,,,,,,
q_event_delta,0.49,0.30,-0.08,-0.08,0.06,-0.01,0.11,0.05,0.96,,,,,,,,,,,,,,,,,
q_event_dQRate_cmsPerHr,0.43,0.08,0.09,0.03,0.27,0.00,0.14,-0.01,0.71,0.75,,,,,,,,,,,,,,,,
q_preEvent_mean_1d,-0.43,-0.30,-0.38,-0.14,-0.01,0.24,0.07,-0.30,0.51,0.24,0.13,,,,,,,,,,,,,,,
q_preEvent_mean_7d,-0.52,-0.32,-0.45,-0.20,-0.14,0.37,0.19,-0.19,0.36,0.11,0.01,0.84,,,,,,,,,,,,,,
q_mm,0.16,0.34,-0.28,-0.17,-0.06,0.00,0.01,-0.12,0.87,0.78,0.44,0.61,0.46,,,,,,,,,,,,,
turb_kg_km2,0.38,0.16,-0.03,-0.04,-0.04,0.00,0.04,-0.04,0.92,0.91,0.64,0.41,0.15,0.78,,,,,,,,,,,,
turb_event_max,0.39,0.12,0.08,0.06,0.07,-0.07,0.05,-0.02,0.84,0.85,0.78,0.28,0.05,0.62,0.86,,,,,,,,,,,
gw_event_max_well5,0.32,0.07,-0.13,-0.15,0.32,0.16,0.34,0.10,0.67,0.71,0.63,0.11,0.10,0.43,0.60,0.55,,,,,,,,,,
gw_event_delta_well5,0.72,0.18,0.66,0.47,-0.09,-0.32,-0.09,0.10,-0.11,0.06,0.03,-0.48,-0.56,-0.16,0.03,0.08,0.02,,,,,,,,,
gw_preEvent_mean_1d_well5,-0.52,-0.15,-0.73,-0.43,0.12,0.36,0.25,-0.03,0.51,0.36,0.23,0.57,0.64,0.45,0.32,0.24,0.51,-0.74,,,,,,,,
gw_preEvent_mean_7d_well5,-0.57,-0.18,-0.75,-0.45,0.05,0.35,0.27,0.01,0.48,0.32,0.20,0.56,0.66,0.43,0.28,0.20,0.46,-0.74,0.98,,,,,,,
time_sinceLastEvent,0.36,0.08,0.64,0.26,-0.12,-0.33,-0.32,-0.10,-0.40,-0.27,-0.11,-0.48,-0.53,-0.39,-0.24,-0.17,-0.29,0.36,-0.73,-0.74,,,,,,
PET_mmHR,-0.06,-0.14,0.13,0.24,-0.09,-0.24,-0.18,-0.50,-0.03,-0.13,-0.27,0.30,0.30,0.18,-0.08,-0.15,-0.14,0.19,-0.10,-0.12,-0.04,,,,,
DO_mean_preEvent_1,-0.37,0.04,-0.48,-0.26,-0.01,-0.27,-0.27,-0.53,0.05,0.02,-0.14,0.13,0.12,0.12,0.02,-0.08,0.19,-0.34,0.46,0.44,-0.29,0.14,,,,
Redox_mean_preEvent_1,0.22,0.12,0.13,0.11,0.13,-0.39,-0.38,-0.44,0.00,0.05,0.10,-0.10,-0.22,0.05,0.07,-0.04,0.12,0.19,-0.17,-0.19,0.18,0.13,0.41,,,
SoilTemp_mean_preEvent_1,0.53,0.03,0.71,0.34,0.12,-0.01,0.07,0.32,-0.38,-0.24,-0.03,-0.54,-0.56,-0.50,-0.23,-0.14,-0.20,0.65,-0.75,-0.73,0.56,-0.14,-0.69,-0.07,,
VWC_mean_preEvent_1,-0.41,0.00,-0.53,-0.35,0.04,0.30,0.20,0.14,0.29,0.21,0.19,0.20,0.44,0.26,0.07,0.09,0.33,-0.64,0.75,0.76,-0.49,-0.21,0.14,-0.27,-0.45,
