"","rain_event_total_mm","rain_event_hrs","rain_int_mmPERmin_max","rain_int_mmPERmin_mean","rain_preEvent_1d","rain_preEvent_7d","rain_preEvent_14d","rain_preEvent_30d","q_event_max","q_event_delta","q_event_dQRate_cmsPerHr","q_preEvent_mean_1d","q_preEvent_mean_7d","q_mm","turb_kg_km2","turb_event_max","gw_event_max_well3","gw_event_delta_well3","gw_preEvent_mean_1d_well3","gw_preEvent_mean_7d_well3","time_sinceLastEvent","PET_mmHR","DO_mean_preEvent_1","Redox_mean_preEvent_1","SoilTemp_mean_preEvent_1","VWC_mean_preEvent_1","DO_mean_preEvent_6","Redox_mean_preEvent_6","SoilTemp_mean_preEvent_6","VWC_mean_preEvent_6"
"rain_event_total_mm",1,0.310471822438098,0.491830396066211,0.495106646074449,-0.0940295650931429,-0.290370290364583,-0.253366812554612,0.0646117588055011,0.662531902119576,0.751010776351881,0.607661722926868,-0.0955761159527323,-0.0882731837580837,0.390760654934073,0.715663867987456,0.753491235342436,0.364876953938466,0.326542252212878,-0.256092057628625,-0.0751093917033076,0.188427530000695,0.0245109481387556,-0.193199226262037,-0.331230602273814,0.145942461572702,-0.175515454170441,0.225577894086214,-0.158251039731805,0.137486221258561,-0.206680988472967
"rain_event_hrs",0.310471822438098,1,-0.158323035732575,-0.399083693234135,-0.185443590917628,-0.215559594646102,-0.202919791796305,-0.234048481007921,0.285420971647672,0.12395037465737,-0.210943009965952,0.285621998105511,0.255968568728804,0.686706548906428,0.112104970914323,0.115600584671711,0.254106374129457,-0.111810674465182,0.175376718998125,0.241540897500201,-0.139605002614442,0.109014901637826,0.228046121010305,0.0448261896144367,-0.383030552666898,0.154696572435387,-0.170581770966062,0.255069230539055,-0.392518300111705,0.160329086674607
"rain_int_mmPERmin_max",0.491830396066211,-0.158323035732575,1,0.526907413342374,0.0939490421108852,-0.137627448125572,-0.0388780590737521,0.059128885471768,0.237337735660107,0.390421250404209,0.554611876870442,-0.289893596610682,-0.286087355461246,-0.0803102123940596,0.386341588441689,0.455661620908825,0.0745452206476016,0.217535148505169,-0.249575154224372,-0.183400405485797,0.245835181873246,-0.0916821904859945,-0.541941327239231,-0.199792967516353,0.541245340527786,-0.159822933035477,0.346740819471777,-0.446633720904577,0.531059173521785,-0.386359563168042
"rain_int_mmPERmin_mean",0.495106646074449,-0.399083693234135,0.526907413342374,1,0.200731630377015,-0.0958752151334348,-0.103757953355572,0.129272550005368,0.268537901216525,0.417498884599244,0.643834444035006,-0.174017377551869,-0.201434790310294,-0.151058889316944,0.369451165080482,0.430126714872402,-0.0325558752090749,0.475173058126136,-0.48690914847701,-0.29952377946752,0.267620046357526,0.04760905408063,-0.202607332587194,-0.112179159126342,0.346948144913068,-0.313286264957104,0.243828688242654,-0.213598875124572,0.35026643198232,-0.278695224462482
"rain_preEvent_1d",-0.0940295650931429,-0.185443590917628,0.0939490421108852,0.200731630377015,1,0.215054402269991,0.248080339310837,0.0955374521239202,0.0990327699612388,0.0683148005132981,0.224023249366058,0.230737723444935,-0.0756972280797646,-0.118885776924009,0.00019984556337851,-0.0173754655307935,-0.029548213774965,-0.185365502626632,0.157039493072743,0.0326163482281368,-0.19771879256207,-0.0994281712616531,0.0707518191525036,0.219457838212494,-0.0302621030954998,0.243544406971844,-0.140120923089613,0.191002411575778,-0.021764409352294,0.229905779377053
"rain_preEvent_7d",-0.290370290364583,-0.215559594646102,-0.137627448125572,-0.0958752151334348,0.215054402269991,1,0.789756238975744,0.471912361023145,0.0455040255580977,-0.0158796539226507,-0.0243628659277432,0.258628077964179,0.304768942751929,-0.0583272892725287,-0.0359797592293173,-0.074236847891418,-0.011678843951261,-0.306710535684261,0.353951104516755,0.256410966827492,-0.38671676914091,-0.145197955752683,0.043555229694044,-0.0927599270075568,-0.0400700003327364,0.349304166768748,-0.28923193898419,0.0480874370524846,-0.0375844539070881,0.265003947016489
"rain_preEvent_14d",-0.253366812554612,-0.202919791796305,-0.0388780590737521,-0.103757953355572,0.248080339310837,0.789756238975744,1,0.587240976386373,0.101068238674798,0.0268477413718205,0.0411255242085555,0.296853121751642,0.351944717328077,-0.00216830993486814,-0.0654204977716408,-0.081757117999066,0.0844833632590023,-0.356957448402572,0.411397082799956,0.371441752271077,-0.360067155751666,-0.0964057186960317,-0.0236207332033114,-0.110937109036045,-0.0447779295608121,0.426014732914479,-0.399898992221433,0.0263776823722884,-0.0457855356322109,0.280117364354758
"rain_preEvent_30d",0.0646117588055011,-0.234048481007921,0.059128885471768,0.129272550005368,0.0955374521239202,0.471912361023145,0.587240976386373,1,0.271903121176638,0.322888172749657,0.266965425863052,0.0740553779654739,0.208095149156192,0.0134636947992234,0.0790681954238643,0.0800952047953625,0.358960968220638,-0.0885038403805433,0.272336635066866,0.383275692672929,-0.235974302412755,-0.145309771096643,-0.230330314384186,-0.520629342653026,0.117699174748553,0.342209659158555,-0.195165467438788,-0.206157205346897,0.1161052654897,0.117507429233618
"q_event_max",0.662531902119576,0.285420971647672,0.237337735660107,0.268537901216525,0.0990327699612388,0.0455040255580977,0.101068238674798,0.271903121176638,1,0.893096014200143,0.65584116498763,0.44392621782798,0.438180272799999,0.710505383774544,0.767905688176994,0.775446454239354,0.550732927253525,-0.0928345542833111,0.28497620338753,0.404014104712684,-0.287811347275903,0.145533744622289,0.0219461165932548,-0.343901004898381,-0.291092888097436,0.436214202707106,-0.359624362846354,0.19796168840132,-0.303455958555088,0.32786045430694
"q_event_delta",0.751010776351881,0.12395037465737,0.390421250404209,0.417498884599244,0.0683148005132981,-0.0158796539226507,0.0268477413718205,0.322888172749657,0.893096014200143,1,0.813708890262913,0.0298040069232169,0.0868174452338336,0.446199470608367,0.811488195240864,0.815967184121137,0.543689528732287,0.0286362178756295,0.182163997229496,0.259328045565428,-0.155138143761145,0.0185895841718116,-0.0832971558260077,-0.323425363665023,-0.0856424800882907,0.231190679548029,-0.0910424105872964,-0.0146677861187945,-0.0905522963159713,0.110043725412739
