date,site,StationNumber,StationName,Latitude,Longitude,TotalPrecipAmt,NewSnowDepth,NewSnowSWE,TotalSnowDepth,TotalSnowSWE
2014-01-13,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,2,NA
2014-01-14,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,NA,NA,NA,0.5,NA
2014-01-15,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.34,NA,NA,NA,NA
2014-01-16,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.1,0.3,0.1,0.3,0.1
2014-01-17,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,NA,NA,NA,0.5,0.3
2014-01-18,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-01-19,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.02,1,0.02,1,0.02
2014-01-20,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.09,2,0.09,3,0.15
2014-01-21,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.05,2,0.05,3,0.14
2014-01-22,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,2.5,NA
2014-01-23,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,2.5,NA
2014-01-24,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,2,NA
2014-01-25,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-01-26,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,NA,NA,NA,NA,NA
2014-01-27,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-01-28,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,NA,NA,NA,NA,NA
2014-01-29,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-01-30,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-01-31,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-02-01,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-02-02,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,NA,0.3,NA,0.3,NA
2014-02-03,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,NA,0.1,NA,0.5,NA
2014-02-04,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-02-05,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,NA,0.5,NA,1,NA
2014-02-06,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.45,6.3,0.45,6.5,NA
2014-02-07,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,5.5,NA
2014-02-08,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,NA,NA,NA,5.5,NA
2014-02-09,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,5.5,NA
