site,event_start,season,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,rain_int_mmPERmin_mean,rain_preEvent_1d,rain_preEvent_7d,rain_preEvent_14d,rain_preEvent_30d,q_event_max,q_event_delta,q_event_dQRate_cmsPerHr,q_preEvent_mean_1d,q_preEvent_mean_7d,q_mm,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,turb_kg_km2,turb_event_max,time_sinceLastEvent
Hungerford,2015-04-27 02:30:00,spring,5.8420000000000005,23.25,0.1016,0.004172857142857143,0.254,NA,NA,NA,1.166795311,0.408892707,0.015879328427184466,0.8060539565520833,1.3872555648720237,5.095805405987526,9.620319783679712,0.03257860282191584,652.9940419855008,47.32258243444611,13.22400000000565,3.1666666666666665
Hungerford,2015-05-04 22:45:00,spring,3.302,1,0.1016,0.0508,0,0,NA,NA,0.469239942,0.10885846200000004,0.008215732981132078,0.3756916959479167,0.602562772139881,1.0793611609147609,1.2565006436310306,0.0541931729954242,51.2708244614586,5.81115296663893,7.641333333265937,4.53125
Hungerford,2015-05-11 08:45:00,spring,20.828,62.583333333333336,0.254,0.005539361702127659,0,3.302,9.144,NA,0.811847595,0.44798076800000003,0.013372560238805972,0.28263005709375,0.31266055650744046,3.039131568910603,2.4766725063166084,0.09466570562023853,57.853291409352245,15.963539149873945,11.256410423499071,4.9375
Hungerford,2015-05-27 11:30:00,spring,10.414,28.75,0.8635999999999999,0.006019653179190751,0.254,8.636,20.828,49.53,0.76852414,0.670404619,0.05472690767346939,0.12171714210416666,0.11557235641220238,0.6614572353492724,1.519099130956697,0.1140370366919384,29.457260625599712,63.14156015622403,249.0740000017896,12.083333333333334
Hungerford,2015-05-30 18:45:00,spring,37.846000000000004,29.166666666666668,0.9652000000000001,0.020985390428211587,0,20.066,32.258,56.642,2.539753817,2.416715714,0.2543911277894737,0.149856854125,0.16620350358779762,3.006423188738046,9.318844414558312,0.7375547383407063,27.939586144822485,687.7679801860795,978.8993332706685,2.1979166666666665
Hungerford,2015-06-01 01:15:00,summer,34.544,38.583333333333336,0.1016,0.015129783037475345,19.304000000000002,54.102000000000004,66.04,90.678,4.84760238,3.7406654019999994,0.23750256520634916,1.62088489240625,0.3891356205401786,10.574758902180873,73.0499745252522,1.191300163301507,135.59729715221516,716.5770599567321,186.51999999999998,0.010416666666666666
Hungerford,2015-06-05 20:00:00,summer,4.8260000000000005,2.8333333333333335,0.1016,0.027577142857142856,0,68.58,88.646,121.92,0.87333948,0.48156912199999996,0.04698235336585366,0.4776001969375,1.330689738700893,1.7234585772474011,6.856440048375143,0.10896742383064952,139.1406938590738,27.549174164867793,27.54200000015013,2.375
Hungerford,2015-06-09 04:30:00,summer,51.562,43,1.6256,0.01994661508704062,11.938,17.272,97.282,138.684,9.078633775,8.620779447,0.3554960596701031,0.407170585625,0.7892789693035714,12.701906172991684,46.84278578692992,3.848680437713716,26.91429622542444,2309.630259049999,764.4306666798483,1.4479166666666667
Hungerford,2015-06-12 16:45:00,summer,25.908,9.916666666666666,0.1524,0.04318,0,68.326,136.906,169.418,6.870985003,6.180095574,0.3923870205714286,0.8526280439270834,1.4845112547440475,10.738280633968815,43.013840222219095,2.043419959568117,46.54818500913523,877.6820010387664,239.3853333344968,1.59375
Hungerford,2015-06-16 09:15:00,summer,11.684000000000001,19.5,0.2032,0.009943829787234043,0,71.628,94.488,194.818,2.436228028,1.855395927,0.176704374,0.6782871427916667,2.2196130151488096,4.742731480471933,18.134233498660752,0.5061828057471156,79.2216676171195,NA,61.234583142311934,1.1875
