site,event_start,DOY,season,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,turb_kg_km2,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,rain_int_mmPERmin_mean,rain_1d,rain_2d,rain_3d,rain_4d,rain_7d,rain_14d,rain_30d,API_4d,q_event_max,q_event_delta,airT_1d,airT_4d,solarRad_1d,solarRad_4d,dewPoint_1d,dewPoint_4d,q_event_dQRate_cmsPerHr,q_1d,q_4d,q_mm,NO3_1d,SRP_1d,turb_1d,turb_event_max,gw_event_max_well1,gw_event_max_well3,gw_event_max_well5,gw_event_max_well7,gw_event_delta_well1,gw_event_delta_well3,gw_event_delta_well5,gw_event_delta_well7,gw_1d_well1,gw_1d_well3,gw_1d_well5,gw_1d_well7,gw_4d_well1,gw_4d_well3,gw_4d_well5,gw_4d_well7,gw_1d_allWells,gw_4d_allWells,DO_pre_HWp1_15cm,Redox_pre_HWp1_15cm,SoilTemp_pre_HWp1_15cm,VWC_pre_HWp1_15cm,DO_pre_HWp1_30cm,Redox_pre_HWp1_30cm,SoilTemp_pre_HWp1_30cm,VWC_pre_HWp1_30cm,DO_pre_HWp1_45cm,Redox_pre_HWp1_45cm,SoilTemp_pre_HWp1_45cm,VWC_pre_HWp1_45cm,DO_pre_HWp2_15cm,Redox_pre_HWp2_15cm,SoilTemp_pre_HWp2_15cm,VWC_pre_HWp2_15cm,DO_pre_HWp2_30cm,Redox_pre_HWp2_30cm,SoilTemp_pre_HWp2_30cm,VWC_pre_HWp2_30cm,DO_pre_HWp2_45cm,Redox_pre_HWp2_45cm,SoilTemp_pre_HWp2_45cm,VWC_pre_HWp2_45cm,DO_pre_HWp3_15cm,Redox_pre_HWp3_15cm,SoilTemp_pre_HWp3_15cm,VWC_pre_HWp3_15cm,DO_pre_HWp3_30cm,Redox_pre_HWp3_30cm,SoilTemp_pre_HWp3_30cm,VWC_pre_HWp3_30cm,DO_pre_HWp3_45cm,Redox_pre_HWp3_45cm,SoilTemp_pre_HWp3_45cm,VWC_pre_HWp3_45cm,DO_pre_HWp5_15cm,Redox_pre_HWp5_15cm,SoilTemp_pre_HWp5_15cm,VWC_pre_HWp5_15cm,DO_pre_HWp5_30cm,Redox_pre_HWp5_30cm,SoilTemp_pre_HWp5_30cm,VWC_pre_HWp5_30cm,DO_pre_HWp5_45cm,Redox_pre_HWp5_45cm,SoilTemp_pre_HWp5_45cm,VWC_pre_HWp5_45cm,DO_pre_dry_15cm,DO_pre_dry_30cm,DO_pre_dry_45cm,Redox_pre_dry_15cm,Redox_pre_dry_30cm,Redox_pre_dry_45cm,SoilTemp_pre_dry_15cm,SoilTemp_pre_dry_30cm,SoilTemp_pre_dry_45cm,VWC_pre_dry_15cm,VWC_pre_dry_30cm,VWC_pre_dry_45cm,DO_pre_wet_15cm,DO_pre_wet_30cm,DO_pre_wet_45cm,Redox_pre_wet_15cm,Redox_pre_wet_30cm,Redox_pre_wet_45cm,SoilTemp_pre_wet_15cm,SoilTemp_pre_wet_30cm,SoilTemp_pre_wet_45cm,VWC_pre_wet_15cm,VWC_pre_wet_30cm,VWC_pre_wet_45cm,time_sinceLastEvent,multipeak,PET_mmHR,diff_airT_soilT
Hungerford,2017-08-05 09:15:00,217,summer,NA,NA,NA,20.703907369074514,9.652000000000001,1.6666666666666667,0.4064,0.09192380952380953,0,0.254,1.016,1.016,1.016,23.876,103.886,10.53455475,0.854818338,0.20972967799999997,22.775,22.574999999999996,NA,NA,NA,NA,0.016778374239999998,0.69373203621875,0.7229022968333333,3.1388839235239727,1.6951889576352122,0.029913360617702344,5.07375,9.335333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.300303958333334,NA,21.935416666666665,0.303,17.658372916666668,NA,20.33125,0.3032708333333333,17.191362291666668,NA,19.683333333333334,0.28175,17.503856458333335,NA,19.97083333333333,0.49554166666666666,12.675644375,NA,18.491666666666667,0.506,-1.0060869375000001,NA,17.147916666666667,0.318,15.700117708333334,NA,20.845833333333335,0.37902083333333336,-0.06740065229166667,NA,19.19375,0.3069375,5.2879131875,NA,18.079166666666666,0.35562499999999997,17.915870833333333,NA,21.06875,0.24377083333333333,17.683684166666666,NA,19.25,0.28385416666666663,18.306271875,NA,17.791666666666668,0.2870625,0.5689925774928988,0.2715860363505494,0.8558250760319391,NA,NA,NA,0.9670288974528116,0.9914798726492311,0.9627008736152748,0.6353208824929897,0.7401962219944355,0.7230236583958454,0.673375536294284,0.47442830849573314,0.36799338309885943,NA,NA,NA,0.9550227881688745,0.9392882325204422,0.9201560013007621,0.40118786107854515,0.4904532872395321,0.30961568587874716,NA,NO,0.31,21.807971102547185
Hungerford,2017-08-12 12:15:00,224,summer,NA,NA,NA,24.07638754823151,12.446,21,1.016,0.009838735177865612,0,1.016,1.016,1.016,14.986,16.002,71.882,13.36294,0.924292961,0.335694006,22.675,20.956249999999997,NA,NA,NA,NA,0.016997164860759494,0.5905689274479167,0.6396220337057291,3.1912803837945205,NA,NA,5.565073446327683,10.492666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.789220651041667,NA,20.071875,0.2968619791666667,18.454701822916668,NA,18.968489583333334,0.30034635416666666,18.075505546875,NA,18.59973958333333,0.2738229166666667,18.199199921875,NA,18.38984375,0.49602083333333336,16.841188723958332,NA,17.659635416666667,0.5094817708333333,-0.8881303658229167,NA,16.992447916666666,0.3176640625,16.51511296875,NA,19.06848958333333,0.3887994791666667,9.431609231770834,NA,18.4140625,0.308421875,4.093754028645833,NA,17.840625,0.3562317708333333,18.1246646875,NA,19.124739583333334,0.24354166666666666,17.937064401041667,NA,18.105989583333333,0.2891770833333333,18.550518489583332,NA,17.348958333333332,0.2897161458333333,0.6812264154958826,0.4909202096356088,0.8984927903616291,NA,NA,NA,0.8842134499878485,0.924027790309483,0.9091645973521351,0.6103804031532722,0.7319739346902914,0.6801823990542273,0.7096623445442776,0.6946593848186019,0.3559002847164434,NA,NA,NA,0.8699696300711337,0.8912290504275113,0.9046344984911244,0.4186970446548598,0.5091156631046416,0.31896684703573924,5.03125,NO,0.5158,21.790786550012154
Hungerford,2017-08-15 14:00:00,227,summer,2.3131249296295926,0.1854800425735457,27.577447576295178,23.56154970217348,11.938,0.4166666666666667,0.762,0.39793333333333336,0,0,4.572,12.446,13.462,28.448,68.834,22.2713407125,1.124707586,0.531512651,20.174999999999997,21.30625,NA,NA,NA,NA,0.07331208979310345,0.6611487985,0.7157140194140625,2.293558583239726,1.2902247972361658,0.2101230027164437,6.687819444444444,14.353333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.574069166666668,NA,20.192708333333332,0.30394791666666665,18.203003020833332,NA,19.325,0.29721875,17.848823229166666,NA,18.905208333333334,0.27159375,17.999673645833333,NA,18.634375,0.49526041666666665,17.941299479166666,NA,18.06875,0.5193020833333334,-0.3958722427083333,NA,17.413541666666667,0.31816666666666665,16.161058958333335,NA,19.279166666666665,0.38816666666666666,9.565007520833333,NA,18.759375,0.30825,3.5089208020833333,NA,18.232291666666665,0.35815625,17.7351759375,NA,19.170833333333334,0.25416666666666665,17.6130853125,NA,18.314583333333335,0.301125,18.26885875,NA,17.65,0.295,0.6318370671599066,0.42159439684832717,0.8875533681372384,NA,NA,NA,0.8895832610029047,0.9416738634459467,0.9242566550441955,0.6391725305539387,0.7231805535217454,0.6681350541145343,0.6824477351613908,0.7061208890796531,0.3479225512521389,NA,NA,NA,0.8783485412870821,0.9085636142926627,0.9261391416448792,0.4375040494885057,0.5415452693645694,0.34672249151568657,1.0625,NO,0.649,19.285416738997093
Hungerford,2017-08-17 19:30:00,229,summer,8.400535850232124,1.3917100355820697,13.347821677454066,133.6068521811451,28.702,28.416666666666668,1.016,0.016784795321637427,0,0,11.938,11.938,24.384,39.37,74.168,38.93734275,1.691758953,1.1303127269999997,18.425,19.293749999999996,NA,NA,NA,NA,0.03229464934285713,0.6216396649583333,0.7175399381666666,7.171022288958904,1.0547679535158374,0.10433709912201225,13.961784722222221,27.111333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.0032265625,NA,18.8125,0.30645833333333333,18.600937604166667,NA,18.926041666666666,0.298875,18.1914803125,NA,18.605208333333334,0.27095833333333336,17.802151875,NA,18.101041666666667,0.5029895833333333,17.068911979166668,NA,17.851041666666667,0.53028125,-0.5090652895833333,NA,17.375,0.33030208333333333,16.5074978125,NA,18.392708333333335,0.39278125,9.632901,NA,18.366666666666667,0.30971875,3.0677820833333334,NA,18.041666666666668,0.360375,17.758787916666666,NA,18.10625,0.2667291666666667,17.631821875,NA,17.851041666666667,0.3073854166666667,18.358371666666667,NA,17.463541666666668,0.2984583333333333,0.7303527905133622,0.5311981700781169,0.9040895962412083,NA,NA,NA,0.8282470575981669,0.9219267604181436,0.9094347876432974,0.6493730490450239,0.7278371650314833,0.6647009978466779,0.6872674512185266,0.6939829275064827,0.3408874609930992,NA,NA,NA,0.8388931011330744,0.8898083055486765,0.9183121334428441,0.4774976038801922,0.568365204259273,0.42377179293264217,0.78125,MP,0.3412,17.596752942401835
Hungerford,2017-08-22 15:15:00,234,summer,4.525704743944217,0.4711306649909661,21.24207853091431,80.1567990153818,17.526,5.25,0.6096,0.05476875,0,0,0,15.494,28.702,54.102000000000004,91.94800000000001,30.145959837499998,1.347600817,0.683030341,22.200000000000003,21.51875,NA,NA,NA,NA,0.05939394269565218,0.7386309834375,0.9894006844505209,4.464523166116439,1.1606612916582602,0.03430883559888884,10.133284722222223,27.914666666666665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.410764375,NA,21.41875,0.29696875,18.157229583333333,NA,20.382291666666667,0.3088125,17.932117083333335,NA,19.391666666666666,0.2684375,16.470014270833335,NA,19.383333333333333,0.5133125000000001,10.450679270833334,NA,18.452083333333334,0.5474583333333334,-0.6313073458333334,NA,17.520833333333332,0.334,16.010251041666667,NA,19.909375,0.40465625,14.1097071875,NA,18.993750000000002,0.32585416666666667,0.44666635177083336,NA,18.338541666666668,0.3613645833333333,17.1975546875,NA,20.097916666666666,0.2749479166666667,17.181229895833333,NA,18.729166666666668,0.3095,17.765858541666667,NA,17.75625,0.30032291666666666,0.5943494464540172,0.40898694408140995,0.891573031640937,NA,NA,NA,0.9440683262160192,0.9940062644204122,0.9482907247532906,0.6108142426326648,0.7557768340899106,0.6510773647840344,0.6318769539509826,0.6496333832689001,0.282470848542087,NA,NA,NA,0.9151639756359771,0.9265559990480096,0.9322552029493268,0.5244926250556837,0.6383802824776217,0.4512542127473263,1.1979166666666667,NO,0.5367,21.255931673783984
Hungerford,2017-09-03 08:00:00,246,fall,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,17.526,85.598,NA,1.261347087,0.7729267550000001,11.233819444444444,12.332578125,242.53472222222223,198.55642361111111,7.4534375,8.990303819444444,0.029727952115384617,0.501773161375,0.5241831975338542,4.083500433369863,1.0733314239120995,1.7386307663704652e-4,5.074238095238095,26.578666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.389959479166667,NA,15.988020833333334,0.22401822916666667,19.38791671875,NA,16.983854166666667,0.2938489583333333,19.109954348958333,NA,16.400520833333335,0.23481770833333332,19.025558697916665,NA,15.57890625,0.49395052083333335,19.29695046875,NA,15.744270833333333,0.50596875,-0.3557327958671875,NA,15.914583333333333,0.3175078125,17.354900286458335,NA,15.493489583333334,0.3856354166666667,16.91693046875,NA,15.87890625,0.3064661458333333,5.487561528645833,NA,15.950520833333334,0.35740625,18.858411041666667,NA,15.098177083333333,0.2309765625,18.70717859375,NA,15.164583333333333,0.2859921875,19.30872859375,NA,15.289322916666666,0.29340364583333334,0.8191297133857449,0.7479571149500155,0.948414073723771,NA,NA,NA,0.7027277251212258,0.8257949755739163,0.8005095016919059,0.31439606370033324,0.7137062527456435,0.46938201061179674,0.7714563321914133,0.8690846296764426,0.40464973396311626,NA,NA,NA,0.7034861253698955,0.7616434200942079,0.8095228458692915,0.38664551088283106,0.4933619280285135,0.33513294186490694,9.427083333333334,NO,7e-4,10.531091719323218
Hungerford,2017-09-05 11:45:00,248,fall,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,17.526,75.946,NA,1.767634158,0.8668403089999999,20.553229166666668,13.719383680555556,195.11805555555554,164.3671875,16.3453125,10.786684027777778,0.05175166023880596,1.06484770759375,0.7503869907265625,4.114108705561644,0.9571467774715468,0.12105158874502872,18.935493055555554,18.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5682025,NA,17.1,0.302,18.4893125,NA,16.8,0.295,18.391865,NA,16,0.238,17.535384999999998,NA,15.9,0.515,18.1902725,NA,15.3,0.555,0.544438475,NA,15.075,0.33575,17.30319,NA,15.8,0.492,17.473982499999998,NA,15.4,0.357,10.323055,NA,15.2,0.36275,18.0298575,NA,16.2,0.283,17.80671,NA,15.275,0.318,18.263505000000002,NA,14.7,0.304,0.6304903376943269,0.5004530850408947,0.9137599257403339,NA,NA,NA,0.7521438739020242,0.8166948092960905,0.7807212794153597,0.6312576054177026,0.7169424513105872,0.48658043995327427,0.7107582337064037,0.8386733285202685,0.47476449259977593,NA,NA,NA,0.730103753515248,0.7461428345448666,0.7674492619229557,0.6980707919134101,0.7612900361921413,0.47719465887962015,0.010416666666666666,NO,0.0168,19.801085292764643
Hungerford,2017-09-07 01:30:00,250,fall,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,71.882,NA,3.864915065,2.59650311,14.236875,15.050286458333334,48.65972222222222,75.24131944444444,13.934409722222222,13.742803819444445,0.11048949404255319,1.4384132687395834,1.0730352436848958,13.108406802739726,0.9221773455764343,0.13723182339119472,16.19031746031746,49.867333333333335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.701327499999998,NA,16.3,0.318,18.459152500000002,NA,16.7,0.312,18.38788,NA,15.9,0.249,16.3996175,NA,15.55,0.5515000000000001,15.7298175,NA,15.3,0.5605,0.359443275,NA,15.174999999999999,0.335,17.917189999999998,NA,15.5,0.496,17.8992675,NA,15.4,0.358,8.880704999999999,NA,15.3,0.363,17.79363,NA,15.8,0.293,17.600227500000003,NA,15.3,0.32475,18.1339975,NA,14.975,0.311,0.661050001348642,0.492146066905099,0.9135676143240536,NA,NA,NA,0.71659202166441,0.8117451437852051,0.7757806569483938,0.696270038622295,0.764738614731293,0.5460290205902636,0.6947821971443617,0.8018207194371176,0.44517302746374554,NA,NA,NA,0.7132892355960424,0.7465363610341184,0.7761826310419382,0.7591874521978322,0.7830578559117245,0.49532157256692233,0.010416666666666666,NO,4e-4,13.52028297833559
Hungerford,2017-10-05 15:00:00,278,fall,0.26529333489157036,0.02432345029962922,24.11866828440728,10.574615432209042,9.398,10.416666666666666,0.5588,0.014917460317460319,0,0,0,0,1.016,1.016,1.016,9.398,1.233310291,0.685169331,18.025,14.549999999999999,NA,NA,NA,NA,0.30451970266666667,0.5258668392083333,0.5032580503333334,1.0904465858424657,0.273685412057664,0.020711576254213687,4.145097222222223,13.113333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.392640807291667,NA,14.522395833333333,0.20773177083333333,19.702639479166667,NA,15.86640625,0.24412462006079028,19.560738020833334,NA,14.8421875,0.19718229166666668,19.864451171875,NA,13.816927083333333,0.45289583333333333,20.774178723958332,NA,14.151041666666666,0.4606171875,17.32961671875,NA,14.779166666666667,0.316171875,19.090650442708334,NA,13.28359375,0.37780729166666666,16.929186145833334,NA,13.898958333333333,0.3024895833333333,15.954843229166666,NA,14.27421875,0.34851822916666664,19.867219765625,NA,13.46953125,0.15408333333333332,19.580037942708334,NA,13.500260416666666,0.21351041666666667,20.12482546875,NA,13.8265625,0.28217447916666666,0.8197452287708856,0.83464171967578,0.9701683639055347,NA,NA,NA,0.6375956208265343,0.770485041440559,0.7235181349150188,0.24821967091688266,0.5739043352126479,0.2659845467467947,0.8633048020260624,0.9135506327521523,0.8825704383014483,NA,NA,NA,0.6126454505522587,0.6686225221349729,0.7278168411497622,0.18430706508117173,0.2925588757341186,0.2494871565354228,25.208333333333332,NO,0.4009,17.387404379173464
Hungerford,2017-10-09 10:45:00,282,fall,NA,NA,NA,NA,37.846000000000004,15.333333333333334,0.2032,0.040914594594594594,7.62,8.128,8.128,8.382,17.526,18.542,18.542,45.7503545875,5.072314093,4.4652099110000005,17.799999999999997,16.9,NA,NA,NA,NA,0.4356302352195123,0.61020240341666665,0.614195966,9.334222923328767,0.3816150466891386,0.03770810429650393,4.440874999996774,36.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.877044756944443,NA,16.240277777777777,0.22520138888888888,19.229639166666665,NA,16.48472222222222,0.2419351145038168,19.137323715277777,NA,15.455902777777778,0.19466319444444444,19.396371006944445,NA,15.177777777777777,0.44868402777777777,20.424100972222224,NA,14.834375,0.4699965277777778,17.96239361111111,NA,14.741666666666667,0.316875,17.950683194444444,NA,14.588541666666666,0.38914930555555555,17.85607982638889,NA,14.484375,0.3048854166666667,16.06716232638889,NA,14.357291666666667,0.34959027777777774,19.429098541666665,NA,15.50173611111111,0.17445833333333333,19.040983506944446,NA,14.622916666666667,0.2306423611111111,19.52779548611111,NA,14.189583333333333,0.2839583333333333,0.7013869799062477,0.704362469868926,0.9497348871741066,NA,NA,NA,0.713937977139727,0.8010896138659379,0.7538394898121107,0.3192035694760417,0.5677484548943157,0.2523702963515498,0.8140987327699677,0.9095369873983252,0.881130770553341,NA,NA,NA,0.6872768615960368,0.7099282919608241,0.7349682941587312,0.24024016735412626,0.3435287486596336,0.2635274988189852,3.125,NO,8e-4,17.08606202286027
