site,event_start,clust_4cl,clust_5cl,clust_6cl,season,var,term,estimate,std.error,statistic.x,p.value.x,r.squared,adj.r.squared,sigma,statistic.y,p.value.y,df,logLik,AIC,BIC,deviance,df.residual,nobs,.rownames,yield,q_mm,.fitted,.resid,.std.resid,.hat,.sigma,.cooksd,q_event_max,q_event_delta,q_event_dQRate_cmsPerHr,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,API_4d,solarRad_4d,q_4d,VWC_pre_dry_15cm,SoilTemp_pre_wet_15cm,VWC_pre_wet_15cm,time_sinceLastEvent,PET_mmHR,gw_1d_well1,gw_1d_well3,gw_1d_well5,gw_1d_well7,gw_1d_allWells,gw_4d_well1,gw_4d_well3,gw_4d_well5,gw_4d_well7,gw_4d_allWells,VWC_pre_wet_30cm,diff_airT_soilT,gw_1d_well2,gw_1d_well4a,gw_4d_well2,gw_4d_well4a,event_NO3_SRP,NO3_1d,DO_pre_dry_15cm,Redox_pre_dry_15cm,DO_pre_wet_15cm,Redox_pre_wet_15cm,SRP_1d,turb_event_max
Hungerford,2017-11-19 03:00:00,3,5,1,fall,NO3_kg_km2,q_mm,2.9714691068861314,0.5952309337538578,4.992128161327893,1.6080427996628682e-4,0.6242611431584106,0.599211886035638,16.636787166560318,24.921343579122997,1.6080427996628736e-4,1,-70.85554609228068,147.71109218456135,150.21073221673,4151.7403083813915,15,17,1,17.81873397443975,7.3342295920479454,26.85090518315969,-9.03217120871994,-0.5604092312455903,0.061498783376724285,17.039480104023816,0.010289925955673187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2017-11-19 03:00:00,3,3,2,fall,SRP_kg_km2,q_mm,0.34549137954996517,0.05908501540291392,5.84736040422402,3.210081620701866e-5,0.6950700368739956,0.6747413726655953,1.6514343765569561,34.19162369688689,3.21008162070186e-5,1,-31.586020249151506,69.172040498303,71.67168053047166,40.90853250111093,15,17,1,1.7416627130477595,7.3342295920479454,1.5295840645229466,0.21207864852481295,0.13256174321110367,0.061498783376724285,1.7083954008612134,5.757555083784164e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2017-11-19 03:00:00,1,4,4,fall,turb_kg_km2,q_mm,116.16978831793284,23.333070423788577,4.978761312077265,3.205192211100448e-4,0.673807245363573,0.6466245158105374,620.6388744787688,24.78806420263732,3.2051922111004603e-4,1,-108.81657616894702,223.63315233789405,225.55032432673983,4622311.350171275,12,14,1,191.21424051913905,7.3342295920479454,303.3301273718172,-112.11588685267813,-0.18817158608054962,0.0783876777587033,647.2790770817719,0.0015058358117202698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2017-11-28 08:00:00,3,5,1,fall,NO3_kg_km2,q_mm,2.9714691068861314,0.5952309337538578,4.992128161327893,1.6080427996628682e-4,0.6242611431584106,0.599211886035638,16.636787166560318,24.921343579122997,1.6080427996628736e-4,1,-70.85554609228068,147.71109218456135,150.21073221673,4151.7403083813915,15,17,4,50.11288372254524,16.917420791260273,55.32706177700217,-5.21417805445693,-0.33866880443859365,0.14358867016818175,17.154745879239993,0.009615196471799528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2017-11-28 08:00:00,3,3,2,fall,SRP_kg_km2,q_mm,0.34549137954996517,0.05908501540291392,5.84736040422402,3.210081620701866e-5,0.6950700368739956,0.6747413726655953,1.6514343765569561,34.19162369688689,3.21008162070186e-5,1,-31.586020249151506,69.172040498303,71.67168053047166,40.90853250111093,15,17,4,0.12094324420219217,16.917420791260273,4.840494012429899,-4.719550768227707,-3.0881482388576718,0.14358867016818175,1.0316358728263681,0.7994734622468723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2017-11-28 08:00:00,1,4,5,fall,turb_kg_km2,q_mm,116.16978831793284,23.333070423788577,4.978761312077265,3.205192211100448e-4,0.673807245363573,0.6466245158105374,620.6388744787688,24.78806420263732,3.2051922111004603e-4,1,-108.81657616894702,223.63315233789405,225.55032432673983,4622311.350171275,12,14,4,123.90160487533979,16.917420791260273,1416.6074203945902,-1292.7058155192503,-2.2566358987751016,0.14808067385437546,491.81984330621856,0.44258113804313826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-04-04 02:30:00,3,5,1,spring,NO3_kg_km2,q_mm,2.2312177638555313,0.17411212694264633,12.8148326198468,3.1700686807878462e-12,0.8724895957993168,0.867176662290955,6.578072456269128,164.21993507468966,3.170068680787835e-12,1,-84.82913249234227,175.65826498468454,179.432554598749,1038.5048937582374,24,26,1,13.101435428759409,6.921839876486302,15.681372253393764,-2.5799368246343555,-0.4033681875843515,0.05459575132729515,6.696736521643225,0.004698017055669553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-04-04 02:30:00,3,3,2,spring,SRP_kg_km2,q_mm,0.0653517699629651,0.01546366163997849,4.22615105558246,2.97115122017023e-4,0.4266651275867333,0.40277617456951376,0.5842274659048625,17.860352744600732,2.9711512201702455e-4,1,-21.87775989860223,49.75551979720446,53.5298094112689,8.191721566022816,24,26,1,0.025344176328233645,6.921839876486302,0.26650823686028935,-0.2411640605320557,-0.42454315435820844,0.05459575132729515,0.5945477930327445,0.005204212079371586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-04-04 02:30:00,1,4,4,spring,turb_kg_km2,q_mm,79.38241827158495,15.80787566499439,5.021700572163067,3.934467500656151e-5,0.5123683366119678,0.4920503506374664,608.929917533401,25.217476636462866,3.934467500656173e-5,1,-202.55612942536285,411.1122588507257,414.88654846479017,8899095.467213627,24,26,1,501.46786290378,6.921839876486302,292.9273072176147,208.54055568616525,0.35145409038561615,0.05046883299422835,620.4239363215519,0.003282624804757594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-04-12 18:15:00,3,5,1,spring,NO3_kg_km2,q_mm,2.2312177638555313,0.17411212694264633,12.8148326198468,3.1700686807878462e-12,0.8724895957993168,0.867176662290955,6.578072456269128,164.21993507468966,3.170068680787835e-12,1,-84.82913249234227,175.65826498468454,179.432554598749,1038.5048937582374,24,26,2,5.693493592712726,3.3224814268561644,7.650419742095498,-1.956926149382772,-0.3114931467321203,0.08787454628169998,6.705955796747399,0.004673858033941104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-04-12 18:15:00,3,3,2,spring,SRP_kg_km2,q_mm,0.0653517699629651,0.01546366163997849,4.22615105558246,2.97115122017023e-4,0.4266651275867333,0.40277617456951376,0.5842274659048625,17.860352744600732,2.9711512201702455e-4,1,-21.87775989860223,49.75551979720446,53.5298094112689,8.191721566022816,24,26,2,8.090242274394761e-4,3.3224814268561644,0.0312837914458059,-0.030474767218366422,-0.0546174146866096,0.08787454628169998,0.5967558448426531,1.436947174171732e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-04-12 18:15:00,1,4,4,spring,turb_kg_km2,q_mm,79.38241827158495,15.80787566499439,5.021700572163067,3.934467500656151e-5,0.5123683366119678,0.4920503506374664,608.929917533401,25.217476636462866,3.934467500656173e-5,1,-202.55612942536285,411.1122588507257,414.88654846479017,8899095.467213627,24,26,2,77.04234537097355,3.3224814268561644,7.201529259711606,69.84081611126194,0.11955617302310513,0.07967763230396538,621.8414251056038,6.187432254184567e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-04-13 21:30:00,3,5,1,spring,NO3_kg_km2,q_mm,2.2312177638555313,0.17411212694264633,12.8148326198468,3.1700686807878462e-12,0.8724895957993168,0.867176662290955,6.578072456269128,164.21993507468966,3.170068680787835e-12,1,-84.82913249234227,175.65826498468454,179.432554598749,1038.5048937582374,24,26,3,14.295955118048399,7.464393229130137,16.891926931652065,-2.5959718136036667,-0.4051383987644651,0.05115379461614768,6.696535477501657,0.004424445493843587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-04-13 21:30:00,3,3,2,spring,SRP_kg_km2,q_mm,0.0653517699629651,0.01546366163997849,4.22615105558246,2.97115122017023e-4,0.4266651275867333,0.40277617456951376,0.5842274659048625,17.860352744600732,2.9711512201702455e-4,1,-21.87775989860223,49.75551979720446,53.5298094112689,8.191721566022816,24,26,3,0.11616479384916988,7.464393229130137,0.30196505875490476,-0.18580026490573487,-0.326487415488495,0.05115379461614768,0.5954661566788504,0.0028733261583694008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-04-13 21:30:00,1,4,4,spring,turb_kg_km2,q_mm,79.38241827158495,15.80787566499439,5.021700572163067,3.934467500656151e-5,0.5123683366119678,0.4920503506374664,608.929917533401,25.217476636462866,3.934467500656173e-5,1,-202.55612942536285,411.1122588507257,414.88654846479017,8899095.467213627,24,26,3,344.354519659683,7.464393229130137,335.99650439183847,8.358015267844507,0.014064415905784234,0.04758046435099191,622.02411951505,4.940987860476075e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-04-16 06:00:00,3,5,1,spring,NO3_kg_km2,q_mm,2.2312177638555313,0.17411212694264633,12.8148326198468,3.1700686807878462e-12,0.8724895957993168,0.867176662290955,6.578072456269128,164.21993507468966,3.170068680787835e-12,1,-84.82913249234227,175.65826498468454,179.432554598749,1038.5048937582374,24,26,4,45.81455611403263,16.603938510945206,37.28424271799985,8.530313396032774,1.33410150289731,0.05516728676347675,6.465594364379394,0.05196063556782247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-04-16 06:00:00,3,1,2,spring,SRP_kg_km2,q_mm,0.0653517699629651,0.01546366163997849,4.22615105558246,2.97115122017023e-4,0.4266651275867333,0.40277617456951376,0.5842274659048625,17.860352744600732,2.9711512201702455e-4,1,-21.87775989860223,49.75551979720446,53.5298094112689,8.191721566022816,24,26,4,0.7396114153932145,16.603938510945206,0.8992505195781861,-0.15963910418497163,-0.2811123016134795,0.05516728676347675,0.5958096031755519,0.0023070468273028153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-04-16 06:00:00,1,4,4,spring,turb_kg_km2,q_mm,79.38241827158495,15.80787566499439,5.021700572163067,3.934467500656151e-5,0.5123683366119678,0.4920503506374664,608.929917533401,25.217476636462866,3.934467500656173e-5,1,-202.55612942536285,411.1122588507257,414.88654846479017,8899095.467213627,24,26,4,2106.1991320254465,16.603938510945206,1061.515710764973,1044.6834212604736,1.7681583366036961,0.05856037169979625,580.0991644214652,0.09723523312064915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-04-20 14:45:00,3,5,1,spring,NO3_kg_km2,q_mm,2.2312177638555313,0.17411212694264633,12.8148326198468,3.1700686807878462e-12,0.8724895957993168,0.867176662290955,6.578072456269128,164.21993507468966,3.170068680787835e-12,1,-84.82913249234227,175.65826498468454,179.432554598749,1038.5048937582374,24,26,5,8.256548548776403,2.766351947630137,6.40957376904266,1.8469747797337428,0.2950873311390231,0.0946354286173195,6.707351585990731,0.004550942947912137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
