myRun,myDataSet,nodes,myTopo,rows,cols,normMeth,wghtMeth,niter,crsAlpha,finAlpha,nClusters,colRowRatio
1,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,4,2.0
2,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,4,2.3
3,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5
4,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,4,1.6
5,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,5,2.0
6,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,5,2.3
7,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5
8,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,5,1.6
9,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,6,2.0
10,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,6,2.3
11,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5
12,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,6,1.6
13,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,4,2.0
14,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,4,2.3
15,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5
16,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,4,1.6
17,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,5,2.0
18,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,5,2.3
19,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5
20,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,5,1.6
21,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,6,2.0
22,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,6,2.3
23,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5
24,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,6,1.6
25,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,4,2.0
26,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,4,2.3
27,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5
28,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,4,1.6
29,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,5,2.0
30,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,5,2.3
31,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5
32,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,5,1.6
33,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,6,2.0
34,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,6,2.3
35,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5
36,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,6,1.6
37,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,4,2.0
38,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,4,2.3
39,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5
40,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,4,1.6
41,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,5,2.0
42,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,5,2.3
43,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5
44,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,5,1.6
45,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,6,2.0
46,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,6,2.3
47,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5
48,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,6,1.6
