myRun,myDataSet,nodes,myTopo,rows,cols,normMeth,wghtMeth,niter,crsAlpha,finAlpha,nClusters,colRowRatio
1,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,4,2.0
2,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,4,2.3
3,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5
4,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,4,1.6
5,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8
6,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,5,2.0
7,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,5,2.3
8,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5
9,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,5,1.6
10,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8
11,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,6,2.0
12,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,6,2.3
13,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5
14,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,6,1.6
15,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8
16,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,4,2.0
17,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,4,2.3
18,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5
19,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,4,1.6
20,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8
21,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,5,2.0
22,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,5,2.3
23,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5
24,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,5,1.6
25,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8
26,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,6,2.0
27,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,6,2.3
28,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5
29,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,6,1.6
30,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8
31,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,4,2.0
32,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,4,2.3
33,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5
34,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,4,1.6
35,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8
36,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,5,2.0
37,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,5,2.3
38,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5
39,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,5,1.6
40,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8
41,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,6,2.0
42,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,6,2.3
43,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5
44,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,6,1.6
45,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8
46,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,4,2.0
47,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,4,2.3
48,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5
49,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,4,1.6
50,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8
51,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,5,2.0
52,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,5,2.3
53,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5
54,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,5,1.6
55,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8
56,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,6,2.0
57,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,6,2.3
58,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5
59,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,6,1.6
60,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8
