myRun,myDataSet,nodes,myTopo,rows,cols,normMeth,wghtMeth,niter,crsAlpha,finAlpha,nClusters,colRowRatio
1,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,4,2.0
2,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,4,2.3
3,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5
4,hford,44,hexagonal,4,11,L2norm,noPCA,1500,0.05,0.01,4,2.8
5,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,4,1.6
6,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8
7,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,5,2.0
8,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,5,2.3
9,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5
10,hford,44,hexagonal,4,11,L2norm,noPCA,1500,0.05,0.01,5,2.8
11,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,5,1.6
12,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8
13,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,6,2.0
14,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,6,2.3
15,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5
16,hford,44,hexagonal,4,11,L2norm,noPCA,1500,0.05,0.01,6,2.8
17,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,6,1.6
18,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8
19,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,4,2.0
20,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,4,2.3
21,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5
22,hford,44,hexagonal,4,11,L2norm,noPCA,1500,0.05,0.01,4,2.8
23,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,4,1.6
24,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8
25,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,5,2.0
26,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,5,2.3
27,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5
28,hford,44,hexagonal,4,11,L2norm,noPCA,1500,0.05,0.01,5,2.8
29,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,5,1.6
30,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8
31,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,6,2.0
32,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,6,2.3
33,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5
34,hford,44,hexagonal,4,11,L2norm,noPCA,1500,0.05,0.01,6,2.8
35,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,6,1.6
36,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8
37,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,4,2.0
38,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,4,2.3
39,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5
40,hford,44,hexagonal,4,11,L2norm,noPCA,1500,0.05,0.01,4,2.8
41,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,4,1.6
42,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8
43,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,5,2.0
44,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,5,2.3
45,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5
46,hford,44,hexagonal,4,11,L2norm,noPCA,1500,0.05,0.01,5,2.8
47,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,5,1.6
48,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8
49,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,6,2.0
50,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,6,2.3
51,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5
52,hford,44,hexagonal,4,11,L2norm,noPCA,1500,0.05,0.01,6,2.8
