myRun,myDataSet,nodes,myTopo,rows,cols,normMeth,wghtMeth,niter,crsAlpha,finAlpha,nClusters,colRowRatio
1,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8
2,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,4,1.3
3,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,4,1.5
4,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7
5,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,4,1.1
6,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8
7,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,5,1.3
8,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,5,1.5
9,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7
10,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,5,1.1
11,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8
12,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,6,1.3
13,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,6,1.5
14,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7
15,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,6,1.1
16,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8
17,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,4,1.3
18,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,4,1.5
19,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7
20,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,4,1.1
21,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8
22,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,5,1.3
23,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,5,1.5
24,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7
25,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,5,1.1
26,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8
27,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,6,1.3
28,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,6,1.5
29,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7
30,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,6,1.1
31,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8
32,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,4,1.3
33,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,4,1.5
34,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7
35,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,4,1.1
36,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8
37,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,5,1.3
38,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,5,1.5
39,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7
40,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,5,1.1
41,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8
42,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,6,1.3
43,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,6,1.5
44,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7
45,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,6,1.1
46,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8
47,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,4,1.3
48,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,4,1.5
49,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7
50,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,4,1.1
51,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8
52,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,5,1.3
53,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,5,1.5
54,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7
55,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,5,1.1
56,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8
57,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,6,1.3
58,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,6,1.5
59,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7
60,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,6,1.1
