Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49
  1,hford,30,hexagonal,3,10,L2norm,noPCA,1000,0.05,0.01,3,3.3,0.150417467731775,0.150417,18.154945,0.01,0,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,1,2,1,3,3,3,3,1,2,1,1
  2,hford,33,hexagonal,3,11,L2norm,noPCA,1000,0.05,0.01,3,3.7,0.136553064884641,0.136553,17.563785,0.01,0,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,3,3,3,2,1,2,2
  3,hford,36,hexagonal,3,12,L2norm,noPCA,1000,0.05,0.01,3,4.0,0.143734021293378,0.143734,11.270957,0.01,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,3,3,3,2
  4,hford,28,hexagonal,4, 7,L2norm,noPCA,1000,0.05,0.01,3,1.8,0.204389154967312,0.204389,13.567508,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1
  5,hford,32,hexagonal,4, 8,L2norm,noPCA,1000,0.05,0.01,3,2.0,0.13729916556711,0.137299,4.322477,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
  6,hford,36,hexagonal,4, 9,L2norm,noPCA,1000,0.05,0.01,3,2.3,0.143424679607476,0.143425,4.322477,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
  7,hford,30,hexagonal,5, 6,L2norm,noPCA,1000,0.05,0.01,3,1.2,0.160029683151284,0.16003,11.053921,0.01,0,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,1,3,3,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2
  8,hford,35,hexagonal,5, 7,L2norm,noPCA,1000,0.05,0.01,3,1.4,0.149051624183982,0.149052,12.967657,0.01,0,3,3,3,3,1,1,1,2,1,1,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,3,3,3,3,2,3,2,2
  9,hford,40,hexagonal,5, 8,L2norm,noPCA,1000,0.05,0.01,3,1.6,0.0844654075964527,0.084465,15.07062,0.01,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,1,1,1,2
 10,hford,45,hexagonal,5, 9,L2norm,noPCA,1000,0.05,0.01,3,1.8,0.115807584330754,0.115808,14.738994,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,3
