Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank
1,hford,30,hexagonal,3,10,L2norm,noPCA,1500,0.05,0.01,3,3.3,0.145418168215619,0.145418,18.102325,0.01,0
2,hford,33,hexagonal,3,11,L2norm,noPCA,1500,0.05,0.01,3,3.7,0.142244950935823,0.142245,13.413833,0.01,0
3,hford,36,hexagonal,3,12,L2norm,noPCA,1500,0.05,0.01,3,4,0.146408024341282,0.146408,10.19916,0.01,0
4,hford,28,hexagonal,4,7,L2norm,noPCA,1500,0.05,0.01,3,1.8,0.169521870706252,0.169522,25.049877,0.01,0
5,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,3,2,0.141865890277737,0.141866,27.384282,0.01,0
6,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,3,2.3,0.105957817421696,0.105958,19.557952,0.01,0
7,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,3,2.5,0.126682772046259,0.126683,14.876198,0.01,0
8,hford,30,hexagonal,5,6,L2norm,noPCA,1500,0.05,0.01,3,1.2,0.148791288932077,0.148791,14.876198,0.01,0
9,hford,35,hexagonal,5,7,L2norm,noPCA,1500,0.05,0.01,3,1.4,0.105160428168694,0.10516,25.049877,0.01,0
10,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,3,1.6,0.117879298007698,0.117879,27.384282,0.01,0
11,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,3,1.8,0.139829962750158,0.13983,13.413833,0.01,0
13,hford,30,hexagonal,6,5,L2norm,noPCA,1500,0.05,0.01,3,0.8,0.190082168107884,0.190082,7.773621,0.01,0
14,hford,36,hexagonal,6,6,L2norm,noPCA,1500,0.05,0.01,3,1,0.128030393183841,0.12803,25.538855,0.01,0
15,hford,42,hexagonal,6,7,L2norm,noPCA,1500,0.05,0.01,3,1.2,0.114450982436574,0.114451,18.175461,0.01,0
16,hford,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,3,1.3,0.137057468316497,0.137057,14.904874,0.01,0
17,hford,30,hexagonal,3,10,L2norm,noPCA,1500,0.05,0.01,4,3.3,0.153413232942646,0.153413,23.294786,0.01,0
18,hford,33,hexagonal,3,11,L2norm,noPCA,1500,0.05,0.01,4,3.7,0.129394299021202,0.129394,18.709327,0.01,0
19,hford,36,hexagonal,3,12,L2norm,noPCA,1500,0.05,0.01,4,4,0.173959382263416,0.173959,21.608723,0.01,0
20,hford,28,hexagonal,4,7,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.165656997552627,0.165657,10.802617,0.01,0
21,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,4,2,0.130451606630816,0.130452,24.272985,0.01,0
22,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,4,2.3,0.133214969308741,0.133215,10.802617,0.01,0
23,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5,0.124000933519534,0.124001,22.810603,0.01,0
24,hford,30,hexagonal,5,6,L2norm,noPCA,1500,0.05,0.01,4,1.2,0.139620986641248,0.139621,20.894844,0.01,0
25,hford,35,hexagonal,5,7,L2norm,noPCA,1500,0.05,0.01,4,1.4,0.133954887176044,0.133955,9.931118,0.01,0
26,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,4,1.6,0.101944595159689,0.101945,19.784798,0.01,0
27,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0902683028585105,0.090268,21.007197,0.01,0
29,hford,30,hexagonal,6,5,L2norm,noPCA,1500,0.05,0.01,4,0.8,0.173733413685254,0.173733,20.894844,0.01,0
30,hford,36,hexagonal,6,6,L2norm,noPCA,1500,0.05,0.01,4,1,0.124745713644383,0.124746,18.308894,0.01,0
31,hford,42,hexagonal,6,7,L2norm,noPCA,1500,0.05,0.01,4,1.2,0.116038344907223,0.116038,18.866361,0.01,0
32,hford,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,4,1.3,0.0826289824671017,0.082629,19.784798,0.01,0
33,hford,30,hexagonal,3,10,L2norm,noPCA,1500,0.05,0.01,5,3.3,0.145174027736604,0.145174,18.927297,0.01,0
34,hford,33,hexagonal,3,11,L2norm,noPCA,1500,0.05,0.01,5,3.7,0.123760761637393,0.123761,20.009298,0.01,0
35,hford,36,hexagonal,3,12,L2norm,noPCA,1500,0.05,0.01,5,4,0.130057847329901,0.130058,21.656116,0.01,0
36,hford,28,hexagonal,4,7,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.167124268198456,0.167124,20.295812,0.01,0
37,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,5,2,0.15714248022882,0.157142,20.458359,0.01,0
38,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,5,2.3,0.103917888214067,0.103918,20.857575,0.01,0
39,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5,0.0833253722695054,0.083325,23.619976,0.01,0
40,hford,30,hexagonal,5,6,L2norm,noPCA,1500,0.05,0.01,5,1.2,0.134786939117055,0.134787,19.49178,0.01,0
41,hford,35,hexagonal,5,7,L2norm,noPCA,1500,0.05,0.01,5,1.4,0.131099069415892,0.131099,18.927297,0.01,0
42,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,5,1.6,0.11319313845423,0.113193,22.623013,0.01,0
43,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.13029644357876,0.130296,20.440652,0.01,0
45,hford,30,hexagonal,6,5,L2norm,noPCA,1500,0.05,0.01,5,0.8,0.135166495882311,0.135166,16.410628,0.01,0
46,hford,36,hexagonal,6,6,L2norm,noPCA,1500,0.05,0.01,5,1,0.118150847843444,0.118151,16.762688,0.01,0
47,hford,42,hexagonal,6,7,L2norm,noPCA,1500,0.05,0.01,5,1.2,0.127608205143673,0.127608,16.410628,0.01,0
48,hford,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,5,1.3,0.0829738535633673,0.082974,22.133785,0.01,0
49,hford,30,hexagonal,3,10,L2norm,noPCA,1500,0.05,0.01,6,3.3,0.172120938012538,0.172121,24.899669,0.01,0
50,hford,33,hexagonal,3,11,L2norm,noPCA,1500,0.05,0.01,6,3.7,0.178279428640611,0.178279,32.152044,0.01,0
51,hford,36,hexagonal,3,12,L2norm,noPCA,1500,0.05,0.01,6,4,0.14800272410184,0.148003,22.147263,0.01,0
52,hford,28,hexagonal,4,7,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.15992963984831,0.15993,24.869317,0.01,0
53,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,6,2,0.172238307975004,0.172238,19.670114,0.01,0
54,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,6,2.3,0.133559138759753,0.133559,23.856059,0.01,0
55,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5,0.168583193310291,0.168583,30.954277,0.01,0
56,hford,30,hexagonal,5,6,L2norm,noPCA,1500,0.05,0.01,6,1.2,0.159968061449891,0.159968,25.07536,0.01,0
57,hford,35,hexagonal,5,7,L2norm,noPCA,1500,0.05,0.01,6,1.4,0.15973647594423,0.159736,24.210362,0.01,0
58,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,6,1.6,0.14847987373861,0.14848,24.899669,0.01,0
59,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.153786193503887,0.153786,21.983527,0.01,0
61,hford,30,hexagonal,6,5,L2norm,noPCA,1500,0.05,0.01,6,0.8,0.156023003876945,0.156023,19.879621,0.01,0
62,hford,36,hexagonal,6,6,L2norm,noPCA,1500,0.05,0.01,6,1,0.121873942700376,0.121874,25.906902,0.01,0
