Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank
1,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,4,2,0.110706701355233,0.110707,27.326719,0.01,0
2,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,4,2.3,0.0775371199980492,0.077537,24.421023,0.01,0
3,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5,0.0790579822795387,0.079058,39.037882,0.01,0
4,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,4,1.6,0.0709551561422356,0.070955,33.133058,0.01,0
5,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,5,2,0.129428604840476,0.129429,36.702481,0.01,0
6,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,5,2.3,0.0726301346902133,0.07263,31.775947,0.01,0
7,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5,0.0749932808860399,0.074993,31.241998,0.01,0
8,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,5,1.6,0.0766174008607679,0.076617,35.858846,0.01,0
9,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,6,2,0.106260332665721,0.10626,29.662075,0.01,0
10,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,6,2.3,0.0900306630944101,0.090031,27.996352,0.01,0
11,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5,0.0516106001340516,0.051611,34.528303,0.01,0
12,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,6,1.6,0.0572711388819725,0.057271,35.929298,0.01,0
13,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,4,2,0.068819264831556,0.068819,28.181212,0.01,0
14,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,4,2.3,0.0778327843475241,0.077833,26.153787,0.01,0
15,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5,0.0717539704791445,0.071754,28.181212,0.01,0
16,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,4,1.6,0.0702366242830477,0.070237,33.646769,0.01,0
17,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,5,2,0.108404567918627,0.108405,37.120984,0.01,0
