Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51
 1,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,4,2.0,0.0909795980409856,0.09098,31.834387,0.01,0,1,1,1,1,1,1,1,1,1,4,4,1,1,4,4,4,3,3,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,3,3,3,3,1,4,1,1,4
 2,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,4,2.3,0.0849675733785368,0.084968,35.227445,0.01,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,3,3,3,3,4
 3,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5,0.0855583491640648,0.085558,27.671863,0.01,0,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,4,4,4,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,4,4,4,4,4,2,4,2,2,1
 4,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,4,1.6,0.102051801310218,0.102052,30.611427,0.01,0,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,4,4,3,3,3,3,3,2,2,4,4,1
 5,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,5,2.0,0.135647864810125,0.135648,24.874115,0.01,0,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,5,5,5,5,5,5,3,3,3,5,4,3,3,3,3,3,3,3,3,3,3,1,2,2,2,5,5,5,5,5,3,1,3,3,1
 6,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,5,2.3,0.0997369710438406,0.099737,33.093312,0.01,0,2,2,2,2,2,2,2,2,2,3,3,3,5,5,5,5,4,4,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,2,3,5,3,3
 7,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5,0.0703300726243972,0.07033,28.106206,0.01,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,3,3,3,5,5,1,1,1,5,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,3,3,3,1,2,1,1,2
 8,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,5,1.6,0.0683088920561038,0.068309,29.179694,0.01,0,3,3,3,3,1,1,1,1,3,1,1,2,2,2,2,2,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,1,3,1,1,2,1,2,2,2,5,5,5,5,4,4,4,2,2,1
 9,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,6,2.0,0.0738360692170645,0.073836,31.035583,0.01,0,5,5,5,5,5,5,5,5,5,4,4,4,4,6,6,6,1,1,1,1,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,1,1,1,1,1,2,4,4,4,3
10,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,6,2.3,0.0733254272740258,0.073325,28.377132,0.01,0,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,5,5,5,2,2,1,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,6,6,6,6,5,5,5,5,5,2,6,4,4,6
