Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank
1,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,4,2,0.0509856871613448,0.050986,50.881589,0.01,0
2,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,4,2.3,0.0495148718364839,0.049515000000000003,46.206955,0.01,0
3,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5,0.0422932050300518,0.042293,51.210367,0.01,0
4,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,4,1.6,0.0401110407501979,0.040111,54.13329,0.01,0
5,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0402494631341155,0.040249,48.127763,0.01,0
6,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,5,2,0.0673928159555665,0.067393,48.111418,0.01,0
7,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,5,2.3,0.0397856378857063,0.039786,42.119574,0.01,0
8,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5,0.047387569561339,0.047388,48.827474,0.01,0
9,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,5,1.6,0.0459981817774919,0.045998,47.167933,0.01,0
10,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.031073462244993,0.031073,43.945787,0.01,0
11,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,6,2,0.0563557173943268,0.056356,40.75073,0.01,0
12,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,6,2.3,0.0395050069241227,0.039505,42.439434,0.01,0
13,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5,0.0369171524866282,0.036917,43.34591,0.01,0
14,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,6,1.6,0.0449225711756185,0.044923,51.198968,0.01,0
15,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0331753903631323,0.033175,38.26309,0.01,0
16,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,4,2,0.0574003053863749,0.0574,49.66842,0.01,0
17,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,4,2.3,0.0500425675596874,0.050043,49.421633,0.01,0
18,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5,0.046338307118269,0.046338,54.700626,0.01,0
19,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,4,1.6,0.0325418570172138,0.032542,47.662344,0.01,0
20,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0385849667206671,0.038585,55.143681,0.01,0
21,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,5,2,0.0657989835905149,0.065799,46.255296,0.01,0
22,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,5,2.3,0.0448540868598339,0.044854,49.911961,0.01,0
23,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5,0.0403804498787156,0.04038,38.509978,0.01,0
24,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,5,1.6,0.0444298404695959,0.04443,45.321309,0.01,0
25,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0334613739004554,0.033461,55.554255,0.01,0
26,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,6,2,0.0550085303192432,0.055009,41.689599,0.01,0
27,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,6,2.3,0.0452882304246324,0.045288,35.037969,0.01,0
28,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5,0.0422316256831789,0.042232,46.756349,0.01,0
29,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,6,1.6,0.047122061889899,0.047122,44.451193,0.01,0
30,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0425494570771339,0.042549,47.955266,0.01,0
31,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,4,2,0.0536481507829794,0.053648,49.841338,0.01,0
32,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,4,2.3,0.0548864740188268,0.054886,49.325675,0.01,0
33,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5,0.0480803624105477,0.04808,54.886712,0.01,0
34,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,4,1.6,0.0429557085106649,0.042956,51.981003,0.01,0
35,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0285291189580629,0.028529,51.470144,0.01,0
36,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,5,2,0.054269646040396,0.05427,42.455734,0.01,0
37,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,5,2.3,0.0516529609969424,0.051653,38.979706,0.01,0
38,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5,0.0414262895482257,0.041426,48.306195,0.01,0
39,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,5,1.6,0.0477049139251172,0.047705,54.660154,0.01,0
40,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0460932776229319,0.046093,44.745545,0.01,0
41,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,6,2,0.0565972013028611,0.056597,43.422833,0.01,0
42,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,6,2.3,0.048131589391455,0.048132,45.650391,0.01,0
43,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5,0.0314613840700569,0.031461,35.30114,0.01,0
44,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,6,1.6,0.037818125492483,0.037818,44.611813,0.01,0
