Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59
 1,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,4,2.0,0.0682295958644077,0.06823,72.373368,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,1,2,2,1
 2,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,4,2.3,0.0508441036554743,0.050844,43.936508,0.01,0,4,4,4,4,3,3,3,3,4,3,2,2,3,3,3,3,1,1,1,1,1,1,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,3,3,1,1,1,1,1,4,2,4,4,2
 3,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5,0.0419371647460381,0.041937,58.974986,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,1,1,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,3
 4,hford,44,hexagonal,4,11,L2norm,noPCA,1500,0.05,0.01,4,2.8,0.0469309188249487,0.046931,63.073967,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,2,2,2,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,1,1,1,1,1
 5,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,4,1.6,0.0428571893575219,0.042857,68.692092,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,2
 6,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0406826542074755,0.040683,71.871291,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,2,2,2,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,2,4,2,2,4
 7,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,5,2.0,0.0618981959396996,0.061898,64.885884,0.01,0,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,5,5,5,5,2,2,4,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,1,1,1,5,5,5,5,5,1,2,1,1,4
 8,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,5,2.3,0.0430587915758915,0.043059,59.989521,0.01,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,2,3,2,3,3,5
 9,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5,0.0494786261710558,0.049479,29.887294,0.01,0,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,3,4,4,3,3,3,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,4,4,4,4,3,1,2,1,1,2
10,hford,44,hexagonal,4,11,L2norm,noPCA,1500,0.05,0.01,5,2.8,0.0418371763263037,0.041837,60.696837,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,5,4,4,4,4,2,2,2,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,4,2,4,2,2,3
11,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,5,1.6,0.0364709664009558,0.036471,58.997282,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,4,4,4,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,4,2,4,2,2,5
12,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0362833342305189,0.036283,64.86422,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,3,3,3,5,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,5
13,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,6,2.0,0.0683952196445566,0.068395,55.405708,0.01,0,1,1,1,1,1,1,1,1,1,1,4,4,1,2,2,2,6,6,6,6,5,5,4,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,4,4,1,1,6,6,6,6,5,1,5,1,1,4
14,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,6,2.3,0.0637895560730861,0.06379,56.149939,0.01,0,5,5,5,5,5,5,5,5,5,5,2,5,5,3,3,3,4,4,4,4,4,4,1,5,5,5,1,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,2,2,5,5,4,4,4,4,4,5,2,5,5,2
15,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5,0.0481161960319749,0.048116,51.946866,0.01,0,3,3,3,2,3,3,3,2,3,4,2,3,3,4,4,4,6,6,6,6,1,1,2,3,3,3,2,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,4,3,3,3,6,6,1,1,6,3,1,3,3,2
16,hford,44,hexagonal,4,11,L2norm,noPCA,1500,0.05,0.01,6,2.8,0.0503841823168659,0.050384,56.645359,0.01,0,2,2,2,1,2,2,2,1,2,5,5,5,2,2,2,3,4,4,4,4,3,3,5,2,2,2,1,6,6,6,6,6,6,6,6,6,6,1,1,2,2,2,2,2,2,5,5,2,2,4,4,4,4,4,2,3,2,2,5
17,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,6,1.6,0.0428676239412829,0.042868,53.062624,0.01,0,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,6,6,5,1,1,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,3,6,3,3,2
18,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0380552284521404,0.038055,58.028542,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,3,3,5,5,5,6,2,2,2,6,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,5,2,2,2,2,4
