Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank
1,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0818287203903251,0.081829,41.907163,0.01,0
2,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,4,1.3,0.082126304231326,0.082126,62.152383,0.01,0
3,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,4,1.5,0.0736675941007481,0.073668,63.85015,0.01,0
4,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7,0.0518591163018019,0.051859,58.764556,0.01,0
5,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,4,1.1,0.0684350589916965,0.068435,50.779541,0.01,0
6,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0860347770326099,0.086035,64.546252,0.01,0
7,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,5,1.3,0.081288124041274,0.081288,63.528151,0.01,0
8,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,5,1.5,0.0760471347377923,0.076047,63.792632,0.01,0
9,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7,0.0628133657413759,0.062813,42.111676,0.01,0
10,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,5,1.1,0.0616426475122814,0.061643,61.63127,0.01,0
11,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0806701778180825,0.08067,72.045611,0.01,0
12,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,6,1.3,0.0694411776178069,0.069441,70.942929,0.01,0
13,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,6,1.5,0.0711174228631571,0.071117,63.369768,0.01,0
14,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7,0.0589008481362935,0.058901,59.401008,0.01,0
15,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,6,1.1,0.0755513792839525,0.075551,54.089963,0.01,0
16,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0804358653456975,0.080436,60.487692,0.01,0
