Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank
1,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0480681097707867,0.048068,97.611744,0.01,0
2,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,4,1.3,0.0459948325920883,0.045995,86.406842,0.01,0
3,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,4,1.5,0.0406109736944066,0.040611,83.601201,0.01,0
4,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7,0.0347754842035614,0.034775,82.739085,0.01,0
5,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,4,1.1,0.0437899553899695,0.04379,80.38508,0.01,0
6,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0512531747968281,0.051253,93.44257,0.01,0
7,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,5,1.3,0.0440978501909533,0.044098,88.832957,0.01,0
8,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,5,1.5,0.0386757655705647,0.038676,80.306945,0.01,0
9,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7,0.0353157109039598,0.035316,96.261615,0.01,0
10,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,5,1.1,0.0425077562280331,0.042508,82.880678,0.01,0
11,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0520664396802528,0.052066,79.402965,0.01,0
12,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,6,1.3,0.0427396765986261,0.04274,84.873361,0.01,0
13,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,6,1.5,0.0420454277025505,0.042045,81.106224,0.01,0
14,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7,0.046238672544082,0.046239,79.722031,0.01,0
15,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,6,1.1,0.0430708907539737,0.043071,80.890125,0.01,0
16,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.052286672508451,0.052287,92.356668,0.01,0
17,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,4,1.3,0.0451940580881737,0.045194,106.622139,0.01,0
18,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,4,1.5,0.0398754942437546,0.039875,85.257599,0.01,0
19,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7,0.0420411634950936,0.042041,81.121749,0.01,0
20,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,4,1.1,0.041968596054389,0.041969,106.044394,0.01,0
21,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0496725553608254,0.049673,68.888946,0.01,0
22,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,5,1.3,0.0545864405979167,0.054586,105.351884,0.01,0
23,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,5,1.5,0.0410950656897607,0.041095,86.53602,0.01,0
24,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7,0.0415121699981196,0.041512,73.410941,0.01,0
25,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,5,1.1,0.0442945192485162,0.044295,93.919174,0.01,0
26,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0498477600185644,0.049848,81.090043,0.01,0
27,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,6,1.3,0.044675587975456,0.044676,77.92012,0.01,0
28,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,6,1.5,0.0405956897407734,0.040596,91.267508,0.01,0
29,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7,0.0373202016136749,0.03732,88.919529,0.01,0
30,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,6,1.1,0.0371441011663612,0.037144,88.69634,0.01,0
31,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0499440223482357,0.049944,73.593924,0.01,0
32,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,4,1.3,0.0447098546300277,0.04471,82.932556,0.01,0
33,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,4,1.5,0.044663814605769,0.044664,92.599792,0.01,0
34,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7,0.0304831726721149,0.030483,73.230654,0.01,0
35,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,4,1.1,0.0375676512765989,0.037568,78.653166,0.01,0
36,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0473989948477278,0.047399,99.8422,0.01,0
37,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,5,1.3,0.0472188771220466,0.047219,82.666527,0.01,0
38,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,5,1.5,0.0448378386982821,0.044838,105.191869,0.01,0
39,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7,0.0395107070441875,0.039511,103.180106,0.01,0
40,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,5,1.1,0.0468367304152238,0.046837,72.269971,0.01,0
41,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0491172821426499,0.049117,96.429966,0.01,0
42,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,6,1.3,0.0476059822028926,0.047606,94.001591,0.01,0
43,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,6,1.5,0.0406660548370479,0.040666,92.525162,0.01,0
44,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7,0.0367391308127272,0.036739,81.121355,0.01,0
45,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,6,1.1,0.0402496979095136,0.04025,98.555654,0.01,0
46,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0496957336270708,0.049696,74.135753,0.01,0
47,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,4,1.3,0.04530829246333,0.045308,102.820847,0.01,0
48,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,4,1.5,0.042847561051195,0.042848,98.607266,0.01,0
49,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7,0.0361983193433316,0.036198,71.607225,0.01,0
50,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,4,1.1,0.0495946106498584,0.049595,83.467505,0.01,0
51,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0473012054025823,0.047301,85.050325,0.01,0
52,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,5,1.3,0.0482889641460097,0.048289,88.910176,0.01,0
53,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,5,1.5,0.0366850536410046,0.036685,95.673124,0.01,0
54,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7,0.0398727288261668,0.039873,100.242613,0.01,0
55,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,5,1.1,0.0422738916143472,0.042274,85.047363,0.01,0
56,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0525395724107456,0.05254,106.315168,0.01,0
57,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,6,1.3,0.0476937123134662,0.047694,100.706626,0.01,0
58,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,6,1.5,0.0387672775642892,0.038767,81.051234,0.01,0
59,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7,0.0416859433952544,0.041686,98.041286,0.01,0
60,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,6,1.1,0.0409533184491251,0.040953,89.01041,0.01,0
