Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank
1,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0653459125859689,0.065346,57.339339,0.01,0
2,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,4,1.3,0.0580399357487142,0.05804,58.584655,0.01,0
3,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,4,1.5,0.0582940535420606,0.058294,58.575155,0.01,0
4,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7,0.0512396060786807,0.05124,61.147261,0.01,0
5,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,4,1.1,0.0608736747460511,0.060874,57.091228,0.01,0
6,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0656583847331299,0.065658,59.559466,0.01,0
7,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,5,1.3,0.0590355441858972,0.059036,46.909701,0.01,0
8,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,5,1.5,0.0511825066556479,0.051183,51.867477,0.01,0
9,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7,0.0458769391947535,0.045877,66.251233,0.01,0
10,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,5,1.1,0.0504658096983908,0.050466,53.225445,0.01,0
11,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0654869877037068,0.065487,42.833494,0.01,0
12,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,6,1.3,0.0611938139141528,0.061194,65.574081,0.01,0
13,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,6,1.5,0.0488791070378649,0.048879,51.592275,0.01,0
14,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7,0.0435633893719651,0.043563,60.334818,0.01,0
15,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,6,1.1,0.0466386528400506,0.046639,49.544227,0.01,0
16,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0578770991749537,0.057877,58.869092,0.01,0
17,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,4,1.3,0.0672045456083891,0.067205,37.161347,0.01,0
18,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,4,1.5,0.0515650623264902,0.051565,53.944099,0.01,0
19,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7,0.0443171190806161,0.044317,55.431604,0.01,0
20,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,4,1.1,0.0485026476843164,0.048503,47.757205,0.01,0
21,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0614400784478314,0.06144,58.319123,0.01,0
22,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,5,1.3,0.0569557276600754,0.056956,64.011176,0.01,0
23,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,5,1.5,0.0547101117809342,0.05471,54.804693,0.01,0
24,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7,0.0440133095572808,0.044013,63.184549,0.01,0
25,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,5,1.1,0.0485014199245346,0.048501,44.818176,0.01,0
26,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0626509176333349,0.062651,66.905352,0.01,0
27,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,6,1.3,0.0559572886549018,0.055957,56.640665,0.01,0
28,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,6,1.5,0.0586566375111266,0.058657,58.595967,0.01,0
29,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7,0.0413707032200039,0.041371,55.999901,0.01,0
30,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,6,1.1,0.0482053879459796,0.048205,68.5476,0.01,0
31,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.064992326899092,0.064992,57.450408,0.01,0
32,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,4,1.3,0.0590839556582148,0.059084,65.419035,0.01,0
33,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,4,1.5,0.0521345330986571,0.052135,51.17175,0.01,0
34,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7,0.0470890534790056,0.047089,58.730043,0.01,0
35,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,4,1.1,0.0539946080715085,0.053995,60.653577,0.01,0
36,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.063133259339552,0.063133,60.447923,0.01,0
37,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,5,1.3,0.0610537970231614,0.061054,68.439972,0.01,0
38,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,5,1.5,0.0486664573090966,0.048666,54.774117,0.01,0
39,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7,0.0479117463028092,0.047912,62.496541,0.01,0
40,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,5,1.1,0.0505284395333186,0.050528000000000003,69.517449,0.01,0
41,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0606228397226908,0.060623,58.094119,0.01,0
42,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,6,1.3,0.06278675970548,0.062787,60.597531,0.01,0
43,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,6,1.5,0.0558963764904302,0.055896,66.412967,0.01,0
44,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7,0.0427454293767569,0.042745,52.271882,0.01,0
45,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,6,1.1,0.0470107739814185,0.047011,55.964141,0.01,0
46,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0604267740918061,0.060427,34.179649,0.01,0
47,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,4,1.3,0.0611973059951924,0.061197,43.921626,0.01,0
48,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,4,1.5,0.0477433395546962,0.047743,61.028513,0.01,0
49,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7,0.0486583492626846,0.048658,47.719299,0.01,0
50,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,4,1.1,0.0507979622806175,0.050798,57.155843,0.01,0
51,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0644340048591472,0.064434,45.104709,0.01,0
52,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,5,1.3,0.0580197345569723,0.05802,48.74765,0.01,0
53,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,5,1.5,0.0524702291944026,0.05247,59.848769,0.01,0
54,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7,0.0422976338842867,0.042298,61.180413,0.01,0
55,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,5,1.1,0.0460700821205773,0.04607,46.000387,0.01,0
56,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0692207157909587,0.069221,57.601481,0.01,0
57,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,6,1.3,0.0603195615022201,0.06032,64.238236,0.01,0
58,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,6,1.5,0.0548444157033167,0.054844,68.013794,0.01,0
59,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7,0.045596490322769,0.045596,61.386217,0.01,0
60,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,6,1.1,0.046861811889317,0.046862,64.113549,0.01,0
