site,SOM,event_start,season,clust_wat_4cl,clust_wat_5cl,clust_wat_6cl,q_event_max,q_event_delta,q_event_dQRate_cmsPerHr,q_mm,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,API_4d,solarRad_4d,q_4d,SoilTemp_pre_wet_15cm,VWC_pre_wet_30cm,PET_mmHR,diff_airT_soilT,gw_1d_well1,gw_1d_well2,gw_1d_well3,gw_1d_well4a,gw_1d_well5,gw_1d_allWells,gw_4d_well1,gw_4d_well2,gw_4d_well3,gw_4d_well4a,gw_4d_well5,gw_4d_allWells
Wade,water,2017-08-18 05:00:00,summer,1,1,6,0.0865561892,0.0509468186,0.005993743364705882,0.4499059455916168,6.8,24.5,0.12,13.487525,115.95175438596492,0.059137092575520835,0.8395165980638045,0.42254789710709106,4e-4,1.2151562499999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,water,2017-08-19 15:00:00,summer,1,1,6,0.1009285506,0.0477492716,0.009549854319999999,0.6899055746443113,5.6000000000000005,15.416666666666666,0.4,15.70363,111.62362637362638,0.061010809189583334,0.8930553286834275,0.4548813067704757,0.164,3.2239930555555567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,water,2017-08-22 15:30:00,summer,1,1,6,0.147527388,0.11375856300000001,0.007845418137931034,0.7333574780479042,13.4,11.416666666666666,0.32,19.25724875,96.01822916666667,0.06148018531614583,0.9334121014918451,0.45277459735898046,0.2777,4.742673611111112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,water,2017-09-03 11:00:00,fall,1,1,6,0.309166491,0.289783128,0.014860673230769231,1.153743709257485,24.6,45,0.12,25.937505,84,0.02049872549479167,0.6970694212766608,0.16887246474164563,0.0066,-0.5234201388888895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,water,2017-09-05 10:45:00,fall,1,1,6,2.613908843,2.5613913729999997,0.2696201445263158,4.487907235257485,20.6,26.833333333333332,0.2,42.840925,74.52690972222223,0.06862770284375,0.7657482669991589,0.5090422661940197,0.0024,5.011215277777779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,water,2017-09-07 01:00:00,fall,3,3,4,2.664002623,2.453696267,0.2582838175789474,11.190316693958083,19.8,32.916666666666664,0.16,60.1841675,40.75086805555556,0.31847798468489585,0.7557434921089821,0.6253334247206146,4e-4,-0.5100868055555559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,water,2017-09-08 17:30:00,fall,3,3,4,0.467345482,0.097699323,0.032566441,0.7066356204610779,4,0.9166666666666666,0.36,41.887995,40.78038194444444,0.8167515133203125,0.7294657412004091,0.6268172140924896,0.3287,-1.1271874999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,water,2017-10-08 11:15:00,fall,1,1,6,0.086029239,0.060678148999999994,0.009708503839999999,0.24594000919760478,12,23.083333333333332,1.1199999999999999,17.21284,50.25347222222222,0.024522231606770833,0.7409648863512608,0.08186976492839747,0.0081,6.470855034722222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,water,2017-10-09 10:15:00,fall,1,1,6,2.444759914,2.405875439,0.300734429875,3.6654430276347307,29.400000000000002,24.25,0.16,40.61,44.763888888888886,0.030950857705729168,0.8154705415623006,0.18591648826720408,8e-4,2.0000694444444456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,water,2017-10-24 16:15:00,fall,1,1,6,2.737527173,2.703758348,0.49159242690909094,3.8737347076886226,24,8,0.6799999999999999,24.19,55.34288194444444,0.033163844622395834,0.6001939864209505,0.36181970841920463,0.0931,6.486662326388888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
